name,group,indexes,min_value_base_year,max_value_base_year,min_value_end_year,max_value_end_year,dist,interpolation_index,action
CapitalCost,Capital_Bio,"GLOBAL,PWRBIONPLXX01",2000,5500,2000,3000,"unif","YEAR","interpolate"
CapitalCost,Capital_Wind,"GLOBAL,PWRWONNPLXX01",500,2000,500,1550,"unif","YEAR","interpolate"
