region,lat,long
SVKXX,48.15,17.117
SVNXX,46.0553,14.515
SWEXX,59.3508,18.0973
SWZXX,-26.495,31.388
SYRXX,33.5,36.3
TCDXX,12.1131,15.0491
TGOXX,6.1319,1.2228
THAXX,13.75,100.5166
TJKXX,38.56,68.7739
TKMXX,37.95,58.3833
TLSXX,-8.5594,125.5795
TTOXX,10.652,-61.517
TUNXX,36.8028,10.1797
TURXX,41.105,29.01
TWNXX,25.0358,121.5683
TZAXX,-6.8,39.2683
UGAXX,0.3167,32.5833
UKRXX,50.434341,30.527756
URYXX,-34.858,-56.1711
USAAK,61.1508,-149.1091
USAAZ,33.5722,-112.0891
USACA,34.1139,-118.4068
USAER,29.7869,-95.3905
USAFR,30.3322,-81.6749
USAGU,13.444304,144.793732
USAHA,21.3294,-157.846
USAME,43.0642,-87.9673
USAMW,44.9635,-93.2678
USANE,42.3188,-71.0846
USANW,47.6211,-122.3244
USANY,40.6943,-73.9249
USAPR,18.466333,-66.105721
USARA,39.7621,-104.8759
USARE,40.0077,-75.1339
USARM,42.3834,-83.1024
USARW,39.986,-82.9851
USASA,30.0687,-89.9288
USASC,36.1715,-86.7843
USASE,33.7627,-84.4225
USASN,39.1239,-94.5541
USASS,35.4676,-97.5137
USASV,35.2079,-80.8304
USASW,38.6358,-90.2451
UZBXX,41.3117,69.2949
VENXX,10.5,-66.916664
VNMXX,10.810583,106.709145
YEMXX,15.3547,44.2066
ZAFXX,-26.17,28.03
ZMBXX,-15.4166,28.2833
ZWEXX,-17.8178,31.0447
SSDXX,4.8539,31.5825
