name,default_value
AccumulatedAnnualDemand,0
AnnualEmissionLimit,-1
AnnualExogenousEmission,0
AvailabilityFactor,1
CapacityFactor,1
CapacityOfOneTechnologyUnit,0
CapacityToActivityUnit,1
CapitalCost,0.001
CapitalCostStorage,2000
Conversionld,0
Conversionlh,0
Conversionls,0
DaysInDayType,7
DaySplit,0.0068
DepreciationMethod,2
DiscountRate,0.1
DiscountRateStorage,0.1
EmissionActivityRatio,0
EmissionsPenalty,0
FixedCost,0
InputActivityRatio,0
MinStorageCharge,0
ModelPeriodEmissionLimit,-1
ModelPeriodExogenousEmission,0
OperationalLife,1
OperationalLifeStorage,10
OutputActivityRatio,0
REMinProductionTarget,0
ReserveMargin,1
ReserveMarginTagFuel,0
ReserveMarginTagTechnology,0
ResidualCapacity,0
ResidualStorageCapacity,0
RETagFuel,0
RETagTechnology,0
SpecifiedAnnualDemand,0
SpecifiedDemandProfile,0
StorageLevelStart,0
StorageMaxChargeRate,99999
StorageMaxDischargeRate,99999
TechnologyFromStorage,0
TechnologyToStorage,0
TotalAnnualMaxCapacity,-1
TotalAnnualMaxCapacityInvestment,-1
TotalAnnualMinCapacity,0
TotalAnnualMinCapacityInvestment,0
TotalTechnologyAnnualActivityLowerLimit,0
TotalTechnologyAnnualActivityUpperLimit,-1
TotalTechnologyModelPeriodActivityLowerLimit,0
TotalTechnologyModelPeriodActivityUpperLimit,-1
TradeRoute,0
VariableCost,0.001
YearSplit,0
