FUEL_TYPE,CUSTOM_NODE,CAPACITY,,,
HYD,AGOXX,57.78,,,
HYD,ALBXX,3.84,,,
HYD,AREXX,0.04,,,
HYD,ARGXX,72.06,,,
HYD,ARMXX,1,,,
HYD,AUSXX,20.11,,,
HYD,AUTXX,9.77,,,
HYD,AZEXX,2.75,,,
HYD,BELXX,0.36,,,
HYD,BENXX,1.1,,,
HYD,BFAXX,0.25,,,
HYD,BGDXX,7.66,,,
HYD,BGRXX,3.78,,,
HYD,BHRXX,0,,,
HYD,BIHXX,6.94,,,
HYD,BLRXX,0.74,,,
HYD,BOLXX,92.27,,,
HYD,BRAXX,422.53,,,
HYD,BRNXX,0,,,
HYD,BTNXX,25.95,,,
HYD,BWAXX,0.64,,,
HYD,CAFXX,10.21,,,
HYD,CANCE,16.1,,,
HYD,CANEA,127.68,,,
HYD,CANNO,70.84,,,
HYD,CANWE,143.94,,,
HYD,CHEXX,9.85,,,
HYD,CHLXX,56.8,,,
HYD,CHNCE,44.29,,,
HYD,CHNEA,18.52,,,
HYD,CHNNE,12.54,,,
HYD,CHNNO,10.73,,,
HYD,CHNNW,77.12,,,
HYD,CHNSO,28.97,,,
HYD,CHNSW,612.13,,,
HYD,CIVXX,6.28,,,
HYD,CMRXX,44.56,,,
HYD,CODXX,198.52,,,
HYD,COGXX,45.9,,,
HYD,COLXX,185.32,,,
HYD,CPVXX,0,,,
HYD,CRIXX,12.96,,,
HYD,CUBXX,0.32,,,
HYD,CYPXX,0.05,,,
HYD,CZEXX,1.39,,,
HYD,DEUXX,10.77,,,
HYD,DJIXX,1.99,,,
HYD,DNKXX,0.08,,,
HYD,DOMXX,0.93,,,
HYD,DZAXX,1.6,,,
HYD,ECUXX,27.52,,,
HYD,EGYXX,22.22,,,
HYD,ESHXX,0,,,
HYD,ESPXX,16.36,,,
HYD,ESTXX,0.26,,,
HYD,ETHXX,71.63,,,
HYD,FINXX,3.76,,,
HYD,FJIXX,0.99,,,
HYD,FRAXX,25.78,,,
HYD,GABXX,19.46,,,
HYD,GBRXX,5.2,,,
HYD,GEOXX,8.76,,,
HYD,GHAXX,2.74,,,
HYD,GINXX,9.85,,,
HYD,GNBXX,0.32,,,
HYD,GNQXX,3.16,,,
HYD,GRCXX,4.34,,,
HYD,GTMXX,24.28,,,
HYD,GUFXX,3.11,,,
HYD,HNDXX,8.12,,,
HYD,HRVXX,4.21,,,
HYD,HUNXX,0.99,,,
HYD,IDNJW,4.95,,,
HYD,IDNKA,21.6,,,
HYD,IDNML,0.73,,,
