admin_1,FUEL_TYPE,CUSTOM_NODE,START_YEAR,END_YEAR,CAPACITY
ID-BT,COA,IDNBT,2020,2050,991
ID-JT,OIL,IDNJT,1986,2016,8
ID-JB,OIL,IDNJB,1982,2012,0.96
ID-SS,BIO,IDNSS,2016,2061,125
ID-SS,BIO,IDNSS,2016,2061,125
ID-KB,COA,IDNKB,2016,2046,25
ID-KB,COA,IDNKB,2016,2046,25
ID-KB,COA,IDNKB,2016,2046,30
ID-KT,BIO,IDNKT,2013,2058,7.3
ID-BB,OIL,IDNBB,2010,2040,3.2
ID-BB,OIL,IDNBB,2010,2040,0.8
ID-BB,OIL,IDNBB,2011,2041,0.8
ID-BB,OIL,IDNBB,2010,2040,0.8
ID-BB,OIL,IDNBB,2010,2040,0.8
ID-BB,OIL,IDNBB,2010,2040,0.8
ID-BB,OIL,IDNBB,2011,2041,0.8
ID-BB,OIL,IDNBB,2011,2041,0.8
ID-BB,OIL,IDNBB,2011,2041,0.8
ID-RI,OIL,IDNRI,2011,2041,3.2
ID-RI,OIL,IDNRI,2011,2041,8
ID-JI,OCG,IDNJI,2020,2050,500
ID-KS,COA,IDNKS,1994,2024,6
ID-KS,COA,IDNKS,1996,2026,6
ID-KS,COA,IDNKS,2001,2031,6
ID-PB,BIO,IDNPB,1995,2040,3
ID-RI,BIO,IDNRI,1996,2041,3
ID-JT,BIO,IDNJT,2004,2049,7.5
ID-JT,BIO,IDNJT,2004,2049,7.5
ID-BT,COA,IDNBT,2005,2035,6
ID-SU,COA,IDNSU,2006,2036,7
ID-SU,COA,IDNSU,2006,2036,7
ID-KI,COA,IDNKI,2006,2036,7.5
ID-KI,COA,IDNKI,2006,2036,7.5
ID-SU,COA,IDNSU,2009,2039,7
ID-SU,COA,IDNSU,2009,2039,7
ID-JI,COA,IDNJI,2010,2040,7.5
ID-JI,COA,IDNJI,2010,2040,7.5
ID-JB,COA,IDNJB,2010,2040,15
ID-JB,COA,IDNJB,2010,2040,15
ID-SG,COA,IDNSG,2015,2045,7
ID-SG,COA,IDNSG,2015,2045,7
ID-SG,COA,IDNSG,2019,2049,50
ID-SG,COA,IDNSG,2019,2049,50
ID-SU,OCG,IDNSU,2015,2045,2
ID-SU,OCG,IDNSU,2015,2045,2
ID-SU,OCG,IDNSU,2015,2045,2
ID-RI,OCG,IDNRI,2015,2045,0.2
ID-NT,OIL,IDNNT,2015,2045,0.5
ID-NT,OIL,IDNNT,2015,2045,1
ID-NT,OIL,IDNNT,2015,2045,1
ID-NT,OIL,IDNNT,2015,2045,1
ID-NT,OIL,IDNNT,2015,2045,1
ID-NT,OIL,IDNNT,2015,2045,1
ID-SA,OCG,IDNSA,2016,2046,125
ID-SG,OCG,IDNSG,2018,2048,30
ID-SG,OCG,IDNSG,2018,2048,5
ID-SU,OIL,IDNSU,2018,2048,125
ID-RI,COA,IDNRI,2017,2047,16
ID-RI,COA,IDNRI,2017,2047,16
ID-BT,COA,IDNBT,2017,2047,40
ID-JB,COA,IDNJB,2006,2036,30
ID-JB,COA,IDNJB,2006,2036,30
ID-SU,COA,IDNSU,2017,2047,30
ID-RI,OCG,IDNRI,2011,2041,1.904
ID-SU,OIL,IDNSU,1986,2016,4.48
ID-SU,OIL,IDNSU,1986,2016,1.6
ID-SU,BIO,IDNSU,2005,2050,2.4
ID-SU,OIL,IDNSU,1986,2016,2.24
ID-SU,OIL,IDNSU,1986,2016,0.4
ID-SS,OCG,IDNSS,2012,2042,2.126
ID-RI,OCG,IDNRI,2012,2042,2.856
ID-RI,OIL,IDNRI,1986,2016,0.8
ID-RI,BIO,IDNRI,2000,2045,1.2
ID-RI,BIO,IDNRI,2000,2045,1.2
ID-RI,BIO,IDNRI,2000,2045,1.4
ID-SB,OCG,IDNSB,2012,2042,0.952
ID-SB,BIO,IDNSB,2000,2045,1.2
ID-SB,BIO,IDNSB,2000,2045,1.12
ID-KB,OIL,IDNKB,2017,2047,25
ID-KB,OIL,IDNKB,2017,2047,25
ID-KB,OIL,IDNKB,2017,2047,25
ID-KB,OIL,IDNKB,2017,2047,25
ID-GO,OIL,IDNGO,1999,2029,11.2
ID-NB,OCG,IDNNB,2016,2046,25
ID-NB,OCG,IDNNB,2016,2046,25
ID-JI,OCG,IDNJI,2018,2048,25.2
ID-BE,COA,IDNBE,2019,2049,100
ID-BE,COA,IDNBE,2019,2049,100
ID-KB,COA,IDNKB,2018,2048,55
ID-KB,COA,IDNKB,2019,2049,55
ID-SU,OCG,IDNSU,2019,2049,35
ID-JA,OCG,IDNJA,2016,2046,50
ID-RI,OCG,IDNRI,2014,2044,50
ID-SS,OCG,IDNSS,2014,2044,50
ID-SU,OIL,IDNSU,1986,2016,40
ID-AC,OIL,IDNAC,1986,2016,10
ID-LA,OIL,IDNLA,1986,2016,50
ID-RI,OIL,IDNRI,2011,2041,40
ID-KB,OIL,IDNKB,2014,2044,30
ID-AC,OIL,IDNAC,2015,2045,6
ID-AC,OIL,IDNAC,1986,2016,2
ID-AC,OIL,IDNAC,1986,2016,4
ID-AC,OIL,IDNAC,1986,2016,10
ID-NB,OIL,IDNNB,1986,2016,10
ID-NB,OIL,IDNNB,1986,2016,1
ID-NB,OIL,IDNNB,1986,2016,4
ID-NB,OIL,IDNNB,1986,2016,1
ID-PA,OIL,IDNPA,2020,2050,10
ID-SN,OIL,IDNSN,1986,2016,5
ID-SN,OIL,IDNSN,1986,2016,5
ID-SN,OIL,IDNSN,1986,2016,10
ID-SN,OIL,IDNSN,1986,2016,30
ID-SN,OIL,IDNSN,1986,2016,20
ID-SN,OIL,IDNSN,1986,2016,10
ID-SN,OIL,IDNSN,1986,2016,20
ID-SN,OIL,IDNSN,1986,2016,10
ID-SN,OIL,IDNSN,1986,2016,20
ID-SN,OIL,IDNSN,1986,2016,20
ID-SN,OIL,IDNSN,1986,2016,30
ID-SG,OIL,IDNSG,1986,2016,3
ID-SG,OIL,IDNSG,1986,2016,10
ID-SG,OIL,IDNSG,1986,2016,10
ID-MU,OIL,IDNMU,1986,2016,5
ID-PB,OIL,IDNPB,1986,2016,10
ID-PA,OIL,IDNPA,1986,2016,20
ID-NB,OCG,IDNNB,2019,2049,68.3
ID-NB,OCG,IDNNB,2020,2050,58.6
ID-SS,OIL,IDNSS,2016,2046,25
ID-SS,OIL,IDNSS,2016,2046,25
ID-SS,OIL,IDNSS,2016,2046,25
ID-SS,OIL,IDNSS,2016,2046,25
ID-SU,OIL,IDNSU,2016,2046,25
ID-RI,OIL,IDNRI,2016,2046,25
ID-RI,OIL,IDNRI,2016,2046,25
ID-RI,OIL,IDNRI,2016,2046,25
ID-BB,OIL,IDNBB,2016,2046,25
ID-SU,OIL,IDNSU,2016,2046,25
ID-SU,OIL,IDNSU,2016,2046,25
ID-SU,OIL,IDNSU,2016,2046,25
ID-BB,OCG,IDNBB,2016,2046,25
ID-BB,OCG,IDNBB,2016,2046,25
ID-KB,OCG,IDNKB,2017,2047,25
ID-KB,OCG,IDNKB,2017,2047,25
ID-KB,OCG,IDNKB,2017,2047,25
ID-KB,OCG,IDNKB,2016,2046,25
ID-PA,OCG,IDNPA,2017,2047,28.75
ID-NT,OIL,IDNNT,2018,2048,28.75
ID-RI,CCG,IDNRI,2022,2052,275
ID-RI,CCG,IDNRI,2022,2052,88
ID-SU,OIL,IDNSU,2017,2047,32
ID-RI,OIL,IDNRI,2016,2046,6
ID-RI,OIL,IDNRI,2014,2044,9
ID-RI,OIL,IDNRI,2016,2046,3.2
ID-BB,OIL,IDNBB,2014,2044,13
ID-SA,COA,IDNSA,2022,2052,50
ID-SA,COA,IDNSA,2022,2052,50
ID-KT,COA,IDNKT,2020,2050,100
ID-KT,COA,IDNKT,2020,2050,100
ID-NT,OIL,IDNNT,2019,2049,50
ID-MA,OCG,IDNMA,2020,2050,30
ID-NT,OCG,IDNNT,2019,2049,8.2
ID-PB,COA,IDNPB,2016,2046,20
ID-PB,COA,IDNPB,2016,2046,20
ID-MU,COA,IDNMU,2016,2046,38
ID-MU,COA,IDNMU,2016,2046,38
ID-MU,COA,IDNMU,2016,2046,38
ID-RI,OIL,IDNRI,1991,2021,5
ID-RI,OIL,IDNRI,1999,2029,5
ID-RI,OIL,IDNRI,2018,2048,17
ID-KB,BIO,IDNKB,2018,2063,10
ID-SU,OIL,IDNSU,1986,2016,0.8
ID-SU,OIL,IDNSU,1986,2016,0.2
ID-SU,BIO,IDNSU,2000,2045,0.8
ID-SU,BIO,IDNSU,2000,2045,0.8
ID-NT,OIL,IDNNT,2017,2047,0.205
ID-JI,BIO,IDNJI,2016,2061,7
ID-SS,OCG,IDNSS,2018,2048,24
ID-LA,OCG,IDNLA,2018,2048,30
ID-JA,OCG,IDNJA,2016,2046,1
ID-SU,OCG,IDNSU,2014,2044,1
ID-RI,OCG,IDNRI,2015,2045,1
ID-SU,OCG,IDNSU,2016,2046,1
ID-BB,BIO,IDNBB,2017,2062,5
ID-JT,OIL,IDNJT,2016,2046,4.4
ID-JI,OCG,IDNJI,2017,2047,1.6
ID-PA,OIL,IDNPA,2020,2050,15
ID-PA,OCG,IDNPA,2019,2049,20
ID-MA,OCG,IDNMA,2020,2050,20
ID-MA,OCG,IDNMA,2020,2050,20
ID-JK,OIL,IDNJK,2019,2049,100
ID-JI,OCG,IDNJI,2019,2049,3.5
ID-RI,CCG,IDNRI,2019,2049,40
ID-RI,CCG,IDNRI,2019,2049,40
ID-SU,OIL,IDNSU,1986,2016,1.12
ID-SU,OIL,IDNSU,1987,2017,2.44
ID-SU,OIL,IDNSU,1978,2008,0.25
ID-SU,OIL,IDNSU,1980,2010,1.06
ID-SU,OIL,IDNSU,1976,2006,0.75
ID-SU,OIL,IDNSU,1978,2008,0.75
ID-PA,OIL,IDNPA,2020,2050,10
ID-PA,OCG,IDNPA,2019,2049,40
ID-JK,OIL,IDNJK,2020,2050,5.7
ID-JK,OCG,IDNJK,2020,2050,2.4
ID-JA,OCG,IDNJA,2009,2039,1.218
ID-RI,OCG,IDNRI,2014,2044,3.075
ID-JI,OCG,IDNJI,2013,2043,2.05
ID-KI,BIO,IDNKI,2000,2045,0.2
ID-KI,OCG,IDNKI,2017,2047,1
ID-SB,OIL,IDNSB,1986,2016,2.37
ID-SB,BIO,IDNSB,2018,2063,0.03
ID-SB,BIO,IDNSB,2018,2063,0.15
ID-SB,BIO,IDNSB,2018,2063,0.25
ID-LA,OCG,IDNLA,2020,2050,3
ID-SN,WON,IDNSN,1970,2000,75
ID-SN,WON,IDNSN,1970,2000,72
ID-BE,HYD,IDNBE,2000,2080,226
ID-JT,HYD,IDNJT,2000,2080,181
ID-ST,HYD,IDNST,2000,2080,260
ID-JI,HYD,IDNJI,2000,2080,159
ID-JA,HYD,IDNJA,2000,2080,180
ID-LA,HYD,IDNLA,2000,2080,118
ID-SA,HYD,IDNSA,2000,2080,50
ID-SU,HYD,IDNSU,2000,2080,1134
ID-RI,HYD,IDNRI,2000,2080,114
ID-KS,HYD,IDNKS,2000,2080,30
ID-SN,HYD,IDNSN,2000,2080,658
ID-JB,HYD,IDNJB,2000,2080,1895
ID-SB,HYD,IDNSB,2000,2080,253
ID-JB,GEO,IDNJB,1994,2024,55
ID-JB,GEO,IDNJB,2000,2030,90
ID-JB,GEO,IDNJB,2009,2039,121
ID-JT,GEO,IDNJT,1998,2028,60
ID-JB,GEO,IDNJB,1994,2024,55
ID-JB,GEO,IDNJB,1994,2024,55
ID-JB,GEO,IDNJB,1994,2024,55
ID-JB,GEO,IDNJB,1997,2027,55
ID-JB,GEO,IDNJB,1997,2027,55
ID-JB,GEO,IDNJB,1997,2027,55
ID-JB,GEO,IDNJB,1983,2013,30
ID-JB,GEO,IDNJB,1987,2017,55
ID-JB,GEO,IDNJB,1987,2017,55
ID-JB,GEO,IDNJB,2008,2038,60
ID-JB,GEO,IDNJB,2015,2045,35
ID-JB,GEO,IDNJB,2018,2048,30
ID-SS,GEO,IDNSS,2019,2049,55
ID-SB,GEO,IDNSB,2019,2049,85
ID-JB,GEO,IDNJB,2014,2044,55
ID-SS,GEO,IDNSS,2021,2051,91
ID-SU,GEO,IDNSU,2017,2047,110
ID-SU,GEO,IDNSU,2017,2047,110
ID-SU,GEO,IDNSU,2018,2048,110
ID-SU,GEO,IDNSU,2019,2049,45
ID-SU,GEO,IDNSU,2021,2051,45
ID-LA,GEO,IDNLA,2012,2042,55
ID-LA,GEO,IDNLA,2012,2042,55
ID-LA,GEO,IDNLA,2016,2046,55
ID-LA,GEO,IDNLA,2017,2047,55
ID-JB,GEO,IDNJB,2000,2030,110
ID-JB,GEO,IDNJB,2009,2039,117
