region,lat,long
IDNJW,-6.175,106.8275
IDNKA,-0.5,117.1378
IDNML,-3.7,128.1667
IDNNU,-8.65,115.2167
IDNPP,-2.533,140.717
IDNSL,-5.1619,119.4362
IDNSM,3.5894,98.6739
MYSPE,3.1478,101.6953
MYSSH,5.975,116.0725
MYSSK,1.5575,110.3439
PHLLU,14.5958,120.9772
PHLMI,7.0667,125.6
PHLVI,10.32,123.75
THACE,13.7525,100.4942
THANO,18.7953,98.9986
THASO,7.0167,100.4667
VNMCE,15.9333,108.2667
VNMNO,21.0283,105.8542
VNMSO,10.7756,106.7019
