CUSTOM_NODE,FUEL_TYPE,START_YEAR,END_YEAR,CAPACITY,,,,
IDNSL,OCG,2016,2046,126,,,,
IDNSL,OCG,2018,2048,97.8,,,,
IDNSM,OCG,1966,1996,22.98,,,,
IDNSM,OCG,1975,2005,57.96,,,,
IDNSM,OCG,1984,2014,49.65,,,,
IDNSM,OCG,1986,2016,64.54,,,,
IDNSM,OCG,2008,2038,22.06,,,,
IDNSM,OCG,2010,2040,5.52,,,,
IDNSL,OCG,2015,2045,66,,,,
IDNSM,OCG,1968,1998,28.48,,,,
IDNSM,OCG,1974,2004,44.73,,,,
IDNSM,OCG,1983,2013,95.02,,,,
IDNSM,OCG,2019,2049,77.89,,,,
IDNSM,SPV,2020,2050,14,,,,
IDNNU,SPV,2020,2050,50,,,,
IDNJW,SPV,2020,2050,65,,,,
IDNSL,SPV,2020,2050,43,,,,
IDNKA,SPV,2020,2050,10,,,,
IDNML,SPV,2020,2050,3,,,,
IDNPP,SPV,2020,2050,16,,,,
IDNSM,WAS,2020,2050,5,,,,
IDNNU,WAS,2020,2050,0,,,,
IDNJW,WAS,2020,2050,29,,,,
IDNSL,WAS,2020,2050,0,,,,
IDNKA,WAS,2020,2050,0,,,,
IDNML,WAS,2020,2050,0,,,,
IDNPP,WAS,2020,2050,0,,,,
IDNSL,WON,1970,2000,147,,,,
IDNSL,WON,2020,2050,153,,,,
IDNSM,COA,2021,2021,4440,,,,
IDNNU,COA,2021,2021,812,,,,
IDNJW,COA,2021,2021,24436,,,,
IDNSL,COA,2021,2021,2724,,,,
IDNKA,COA,2021,2021,2511,,,,
IDNML,COA,2021,2021,14,,,,
IDNPP,COA,2021,2021,229,,,,
IDNSM,COA,2022,2022,4440,,,,
IDNNU,COA,2022,2022,812,,,,
IDNJW,COA,2022,2022,26402,,,,
IDNSL,COA,2022,2022,2814,,,,
IDNKA,COA,2022,2022,2511,,,,
IDNML,COA,2022,2022,14,,,,
IDNPP,COA,2022,2022,229,,,,
IDNSM,COA,2023,2023,6610,,,,
IDNNU,COA,2023,2023,862,,,,
IDNJW,COA,2023,2023,21105,,,,
IDNSL,COA,2023,2023,2964,,,,
IDNKA,COA,2023,2023,2381,,,,
IDNML,COA,2023,2023,14,,,,
IDNPP,COA,2023,2023,229,,,,
IDNSM,COA,2024,2024,6610,,,,
IDNNU,COA,2024,2024,862,,,,
IDNJW,COA,2024,2024,20668,,,,
IDNSL,COA,2024,2024,3014,,,,
IDNKA,COA,2024,2024,2381,,,,
IDNML,COA,2024,2024,14,,,,
IDNPP,COA,2024,2024,229,,,,
IDNSM,COA,2025,2025,6483,,,,
IDNNU,COA,2025,2025,862,,,,
IDNJW,COA,2025,2025,21270,,,,
IDNSL,COA,2025,2025,3014,,,,
IDNKA,COA,2025,2025,2377,,,,
IDNML,COA,2025,2025,14,,,,
IDNPP,COA,2025,2025,229,,,,
IDNSM,COA,2026,2026,6483,,,,
IDNNU,COA,2026,2026,862,,,,
IDNJW,COA,2026,2026,20950,,,,
IDNSL,COA,2026,2026,3014,,,,
IDNKA,COA,2026,2026,2377,,,,
IDNML,COA,2026,2026,14,,,,
IDNPP,COA,2026,2026,229,,,,
IDNSM,COA,2027,2027,6251,,,,
IDNNU,COA,2027,2027,862,,,,
IDNJW,COA,2027,2027,18676,,,,
IDNSL,COA,2027,2027,7300,,,,
IDNKA,COA,2027,2027,2374,,,,
IDNML,COA,2027,2027,2164,,,,
IDNPP,COA,2027,2027,229,,,,
IDNSM,COA,2028,2028,5919,,,,
IDNNU,COA,2028,2028,862,,,,
IDNJW,COA,2028,2028,17338,,,,
IDNSL,COA,2028,2028,7300,,,,
IDNKA,COA,2028,2028,2374,,,,
IDNML,COA,2028,2028,2164,,,,
IDNPP,COA,2028,2028,229,,,,
IDNSM,COA,2029,2029,5919,,,,
IDNNU,COA,2029,2029,862,,,,
IDNJW,COA,2029,2029,17338,,,,
IDNSL,COA,2029,2029,7300,,,,
IDNKA,COA,2029,2029,2341,,,,
IDNML,COA,2029,2029,2164,,,,
IDNPP,COA,2029,2029,222,,,,
IDNSM,COA,2030,2030,5229,,,,
IDNNU,COA,2030,2030,328,,,,
IDNJW,COA,2030,2030,15125,,,,
IDNSL,COA,2030,2030,7300,,,,
IDNKA,COA,2030,2030,2221,,,,
IDNML,COA,2030,2030,2164,,,,
IDNPP,COA,2030,2030,219,,,,
IDNSM,COA,2031,2031,5043,,,,
IDNNU,COA,2031,2031,328,,,,
IDNJW,COA,2031,2031,11098,,,,
IDNSL,COA,2031,2031,7300,,,,
IDNKA,COA,2031,2031,1992,,,,
IDNML,COA,2031,2031,2164,,,,
IDNPP,COA,2031,2031,219,,,,
IDNSM,COA,2032,2032,4933,,,,
IDNNU,COA,2032,2032,328,,,,
IDNJW,COA,2032,2032,10438,,,,
IDNSL,COA,2032,2032,7240,,,,
IDNKA,COA,2032,2032,1768,,,,
IDNML,COA,2032,2032,2164,,,,
IDNPP,COA,2032,2032,219,,,,
IDNSM,COA,2033,2033,4933,,,,
IDNNU,COA,2033,2033,328,,,,
IDNJW,COA,2033,2033,10438,,,,
IDNSL,COA,2033,2033,7240,,,,
IDNKA,COA,2033,2033,1638,,,,
IDNML,COA,2033,2033,2164,,,,
IDNPP,COA,2033,2033,219,,,,
IDNSM,COA,2034,2034,4533,,,,
IDNNU,COA,2034,2034,328,,,,
IDNJW,COA,2034,2034,9447,,,,
IDNSL,COA,2034,2034,7240,,,,
IDNKA,COA,2034,2034,1390,,,,
IDNML,COA,2034,2034,2164,,,,
IDNPP,COA,2034,2034,219,,,,
IDNSM,COA,2035,2035,4533,,,,
IDNNU,COA,2035,2035,328,,,,
IDNJW,COA,2035,2035,8394,,,,
IDNSL,COA,2035,2035,7240,,,,
IDNKA,COA,2035,2035,1390,,,,
IDNML,COA,2035,2035,2164,,,,
IDNPP,COA,2035,2035,219,,,,
IDNSM,COA,2036,2036,4533,,,,
IDNNU,COA,2036,2036,328,,,,
IDNJW,COA,2036,2036,8387,,,,
IDNSL,COA,2036,2036,7240,,,,
IDNKA,COA,2036,2036,1363,,,,
IDNML,COA,2036,2036,2164,,,,
IDNPP,COA,2036,2036,219,,,,
IDNSM,COA,2037,2037,4519,,,,
IDNNU,COA,2037,2037,324,,,,
IDNJW,COA,2037,2037,6735,,,,
IDNSL,COA,2037,2037,6966,,,,
IDNKA,COA,2037,2037,1325,,,,
IDNML,COA,2037,2037,2164,,,,
IDNPP,COA,2037,2037,219,,,,
IDNSM,COA,2038,2038,4519,,,,
IDNNU,COA,2038,2038,324,,,,
IDNJW,COA,2038,2038,6686,,,,
IDNSL,COA,2038,2038,6692,,,,
IDNKA,COA,2038,2038,1290,,,,
IDNML,COA,2038,2038,2164,,,,
IDNPP,COA,2038,2038,219,,,,
IDNSM,COA,2039,2039,4211,,,,
IDNNU,COA,2039,2039,324,,,,
IDNJW,COA,2039,2039,6686,,,,
IDNSL,COA,2039,2039,6692,,,,
IDNKA,COA,2039,2039,1194,,,,
IDNML,COA,2039,2039,2164,,,,
IDNPP,COA,2039,2039,219,,,,
IDNSM,COA,2040,2040,4152,,,,
IDNNU,COA,2040,2040,324,,,,
IDNJW,COA,2040,2040,6346,,,,
IDNSL,COA,2040,2040,6681,,,,
IDNKA,COA,2040,2040,875,,,,
IDNML,COA,2040,2040,2164,,,,
IDNPP,COA,2040,2040,219,,,,
IDNSM,COA,2041,2041,3843,,,,
IDNNU,COA,2041,2041,324,,,,
IDNJW,COA,2041,2041,5624,,,,
IDNSL,COA,2041,2041,6681,,,,
IDNKA,COA,2041,2041,775,,,,
IDNML,COA,2041,2041,2164,,,,
IDNPP,COA,2041,2041,219,,,,
IDNSM,COA,2042,2042,3588,,,,
IDNNU,COA,2042,2042,301,,,,
IDNJW,COA,2042,2042,3535,,,,
IDNSL,COA,2042,2042,6431,,,,
IDNKA,COA,2042,2042,746,,,,
IDNML,COA,2042,2042,2164,,,,
IDNPP,COA,2042,2042,219,,,,
IDNSM,COA,2043,2043,3544,,,,
IDNNU,COA,2043,2043,239,,,,
IDNJW,COA,2043,2043,2239,,,,
IDNSL,COA,2043,2043,6255,,,,
IDNKA,COA,2043,2043,746,,,,
IDNML,COA,2043,2043,2164,,,,
IDNPP,COA,2043,2043,219,,,,
IDNSM,COA,2044,2044,3399,,,,
IDNNU,COA,2044,2044,239,,,,
IDNJW,COA,2044,2044,2082,,,,
IDNSL,COA,2044,2044,5954,,,,
IDNKA,COA,2044,2044,701,,,,
IDNML,COA,2044,2044,2164,,,,
IDNPP,COA,2044,2044,219,,,,
IDNSM,COA,2045,2045,2738,,,,
IDNNU,COA,2045,2045,208,,,,
IDNJW,COA,2045,2045,2082,,,,
IDNSL,COA,2045,2045,5954,,,,
IDNKA,COA,2045,2045,585,,,,
IDNML,COA,2045,2045,2164,,,,
IDNPP,COA,2045,2045,111,,,,
IDNSM,COA,2046,2046,1955,,,,
IDNNU,COA,2046,2046,163,,,,
IDNJW,COA,2046,2046,1758,,,,
IDNSL,COA,2046,2046,5933,,,,
IDNKA,COA,2046,2046,512,,,,
IDNML,COA,2046,2046,2164,,,,
IDNPP,COA,2046,2046,2,,,,
IDNSM,COA,2047,2047,1615,,,,
IDNNU,COA,2047,2047,163,,,,
IDNJW,COA,2047,2047,1434,,,,
IDNSL,COA,2047,2047,5276,,,,
IDNKA,COA,2047,2047,413,,,,
IDNML,COA,2047,2047,2152,,,,
IDNPP,COA,2047,2047,0,,,,
IDNSM,COA,2048,2048,1586,,,,
IDNNU,COA,2048,2048,50,,,,
IDNJW,COA,2048,2048,1434,,,,
IDNSL,COA,2048,2048,5188,,,,
IDNKA,COA,2048,2048,58,,,,
IDNML,COA,2048,2048,2150,,,,
IDNPP,COA,2048,2048,0,,,,
IDNSM,COA,2049,2049,1586,,,,
IDNNU,COA,2049,2049,50,,,,
IDNJW,COA,2049,2049,1434,,,,
IDNSL,COA,2049,2049,4862,,,,
IDNKA,COA,2049,2049,22,,,,
IDNML,COA,2049,2049,2150,,,,
IDNPP,COA,2049,2049,0,,,,
IDNSM,COA,2050,2050,1295,,,,
IDNNU,COA,2050,2050,50,,,,
IDNJW,COA,2050,2050,942,,,,
IDNSL,COA,2050,2050,4710,,,,
IDNKA,COA,2050,2050,22,,,,
IDNML,COA,2050,2050,2150,,,,
IDNPP,COA,2050,2050,0,,,,
BRNXX,OCG,2012,2042,221.0047588,,,,
BRNXX,OCG,2015,2045,102,,,,
BRNXX,COA,2019,2049,220,,,,
BRNXX,OCG,2008,2038,110,,,,
BRNXX,OCG,1995,2025,114.994346,,,,
