CUSTOM_NODE,YEAR,VALUE
THANO,2021,237.85
THANO,2022,253.99
THANO,2023,264.34
THANO,2024,273.68
THANO,2025,283.24
THANO,2026,292.96
THANO,2027,302.3
THANO,2028,311.79
THANO,2029,321.48
THANO,2030,331.03
THANO,2031,340.72
THANO,2032,349.79
THANO,2033,359.62
THANO,2034,369.54
THANO,2035,380.25
THANO,2036,391.34
THANO,2037,402.48
THANO,2038,421.64
THANO,2039,435.44
THANO,2040,451.58
THANO,2041,467.93
THANO,2042,485.09
THANO,2043,502.17
THANO,2044,519.85
THANO,2045,539.35
THANO,2046,559.94
THANO,2047,581.65
THANO,2048,604.6
THANO,2049,628.91
THANO,2050,654.54
THACE,2015,323.22
THACE,2016,346.75
THACE,2017,345.57
THACE,2018,354.09
THACE,2019,371.74
THACE,2020,365.98
THACE,2021,428.37
THACE,2022,435
THACE,2023,448.18
THACE,2024,463.17
THACE,2025,476.83
THACE,2026,490.32
THACE,2027,503.75
THACE,2028,518.14
THACE,2029,534.02
THACE,2030,549.41
THACE,2031,565.28
THACE,2032,581.26
THACE,2033,598.22
THACE,2034,614.56
THACE,2035,631.21
THACE,2036,648.26
THACE,2037,665.8
THACE,2038,695.79
THACE,2039,715.96
THACE,2040,738.53
THACE,2041,762.48
THACE,2042,788.64
THACE,2043,817.37
THACE,2044,847.85
THACE,2045,878.88
THACE,2046,911.6
THACE,2047,946.14
THACE,2048,982.58
THACE,2049,1020.96
THACE,2050,1061.2
THASO,2015,63.24
THASO,2016,73.37
THASO,2017,65.52
THASO,2018,63.8
THASO,2019,62.84
THASO,2020,60.46
THASO,2021,73.88
THASO,2022,78.76
THASO,2023,81.32
THASO,2024,83.98
THASO,2025,86.47
THASO,2026,89.25
THASO,2027,91.93
THASO,2028,94.57
THASO,2029,97.17
THASO,2030,99.65
THASO,2031,102.23
THASO,2032,104.94
THASO,2033,107.68
THASO,2034,110.63
THASO,2035,113.5
THASO,2036,116.38
THASO,2037,119.13
THASO,2038,124.81
THASO,2039,129.54
THASO,2040,134.2
THASO,2041,138.86
THASO,2042,143.43
THASO,2043,148.08
THASO,2044,153.15
THASO,2045,158.7
THASO,2046,164.58
THASO,2047,170.78
THASO,2048,177.33
THASO,2049,184.28
THASO,2050,191.61
