CUSTOM_NODE,YEAR,VALUE
BRNXX,2029,18.96
BRNXX,2030,19.35
BRNXX,2031,19.76
BRNXX,2032,20.02
BRNXX,2033,20.45
BRNXX,2034,20.89
BRNXX,2035,21.37
BRNXX,2036,21.87
BRNXX,2037,22.42
BRNXX,2038,23
BRNXX,2039,23.63
BRNXX,2040,24.31
BRNXX,2041,25.04
BRNXX,2042,25.82
BRNXX,2043,26.67
BRNXX,2044,27.59
BRNXX,2045,28.59
BRNXX,2046,29.66
BRNXX,2047,30.83
BRNXX,2048,32.09
BRNXX,2049,33.46
BRNXX,2050,34.95
