PLEXOS_Nodes,Country,PLEXOS_Countries,Share_%_Country_Demand,Unit,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100
EU-ESP,ESP,EU-ESP,1.0,GWh,397456.73,403491.162,409525.594,415560.026,421594.458,427628.89,433022.56,438416.23,443809.9,449203.57,454597.24,459643.43799999997,464689.636,469735.834,474782.032,479828.23,485066.602,490304.974,495543.346,500781.718,506020.09,511399.98000000004,516779.87000000005,522159.76,527539.65,532919.54,538590.104,544260.6680000001,549931.232,555601.796,561272.36,566757.542,572242.724,577727.906,583213.088,588698.27,594121.106,599543.942,604966.7779999999,610389.614,615812.45,621515.7339999999,627219.0179999999,632922.302,638625.586,644328.87,650160.064,655991.258,661822.4519999999,667653.646,673484.84,679194.456,684904.072,690613.688,696323.304,702032.92,707338.02,712643.12,717948.2200000001,723253.3200000001,728558.42,733422.7100000001,738287.0,743151.29,748015.58,752879.87,757647.662,762415.454,767183.2459999999,771951.038,776718.83,781481.9539999999,786245.078,791008.2019999999,795771.326,800534.45,805343.514,810152.578,814961.642,819770.706,824579.77,829257.446,833935.122,838612.7980000001,843290.474,847968.15,852209.16,856450.17,860691.1799999999,864932.19,869173.2
EU-FIN,FIN,EU-FIN,1.0,GWh,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,84929.96,85190.75,85451.54000000001,85712.33,85973.12000000001,86233.91,87151.87000000001,88069.83,88987.79000000001,89905.75,90823.71,91789.32,92754.93000000001,93720.54,94686.15,95651.76,96679.806,97707.852,98735.898,99763.944,100791.99,101858.486,102924.982,103991.478,105057.974,106124.47,107208.908,108293.346,109377.784,110462.22200000001,111546.66,112643.58,113740.5,114837.42,115934.34,117031.26,118133.31599999999,119235.37199999999,120337.428,121439.484,122541.54,123650.628,124759.716,125868.80399999999,126977.89199999999,128086.98,129207.936,130328.892,131449.848,132570.804,133691.76,134812.21000000002,135932.66,137053.11000000002,138173.56,139294.01
EU-FRA,FRA,EU-FRA,1.0,GWh,640371.28,648472.1340000001,656572.988,664673.8420000001,672774.696,680875.55,690043.1980000001,699210.846,708378.4940000001,717546.142,726713.79,736068.25,745422.71,754777.17,764131.63,773486.09,783200.4519999999,792914.814,802629.176,812343.5380000001,822057.9,832755.89,843453.88,854151.87,864849.86,875547.85,886543.83,897539.8099999999,908535.79,919531.77,930527.75,941562.508,952597.2660000001,963632.024,974666.782,985701.54,996502.65,1007303.76,1018104.87,1028905.98,1039707.09,1050555.682,1061404.274,1072252.866,1083101.458,1093950.05,1105258.376,1116566.702,1127875.028,1139183.354,1150491.68,1161984.3839999998,1173477.088,1184969.792,1196462.496,1207955.2,1219440.9479999999,1230926.696,1242412.444,1253898.192,1265383.94,1276800.226,1288216.512,1299632.798,1311049.084,1322465.37,1333856.8560000001,1345248.3420000002,1356639.828,1368031.314,1379422.8,1390748.732,1402074.664,1413400.596,1424726.528,1436052.46,1447036.15,1458019.8399999999,1469003.53,1479987.22,1490970.91,1501703.504,1512436.098,1523168.6919999998,1533901.2859999998,1544633.88,1555105.054,1565576.228,1576047.402,1586518.576,1596989.75
EU-GRC,GRC,EU-GRC,1.0,GWh,61489.94,61543.888,61597.836,61651.784,61705.732,61759.68,63586.432,65413.184,67239.936,69066.688,70893.44,72505.75600000001,74118.072,75730.388,77342.704,78955.02,80574.494,82193.96800000001,83813.442,85432.916,87052.39,88630.986,90209.582,91788.178,93366.77399999999,94945.37,96479.89199999999,98014.41399999999,99548.936,101083.458,102617.98,104082.848,105547.716,107012.584,108477.452,109942.32,111350.51000000001,112758.70000000001,114166.89,115575.08,116983.27,118426.144,119869.018,121311.892,122754.766,124197.64,125652.504,127107.368,128562.23199999999,130017.09599999999,131471.96,132876.516,134281.072,135685.628,137090.18399999998,138494.74,139817.79799999998,141140.856,142463.914,143786.972,145110.03,146316.572,147523.114,148729.656,149936.198,151142.74,152279.356,153415.972,154552.588,155689.204,156825.82,157917.918,159010.016,160102.114,161194.212,162286.31,163353.126,164419.942,165486.758,166553.57400000002,167620.39,168637.06,169653.73,170670.4,171687.07,172703.74,173603.918,174504.096,175404.274,176304.452,177204.63
EU-HRV,HRV,EU-HRV,1.0,GWh,18190.02,18233.162,18276.304,18319.446,18362.588,18405.73,19009.136,19612.541999999998,20215.948,20819.354,21422.76,21930.257999999998,22437.755999999998,22945.254,23452.752,23960.25,24416.296,24872.342,25328.388,25784.434,26240.48,26657.858,27075.236,27492.613999999998,27909.992,28327.37,28706.438,29085.505999999998,29464.574,29843.642,30222.71,30555.13,30887.55,31219.97,31552.39,31884.81,32175.83,32466.850000000002,32757.870000000003,33048.89,33339.91,33605.926,33871.942,34137.958,34403.974,34669.99,34918.786,35167.582,35416.378,35665.174,35913.97,36132.018000000004,36350.066,36568.114,36786.162,37004.21,37192.18,37380.15,37568.119999999995,37756.09,37944.06,38092.314,38240.568,38388.822,38537.076,38685.33,38797.542,38909.754,39021.966,39134.178,39246.39,39332.028,39417.666,39503.304000000004,39588.942,39674.58,39741.134,39807.688,39874.242,39940.796,40007.35,40059.36,40111.37,40163.38,40215.39,40267.4,40305.58,40343.76,40381.94,40420.12,40458.3
EU-HUN,HUN,EU-HUN,1.0,GWh,55316.01,55987.630000000005,56659.25,57330.87,58002.49,58674.11,59410.036,60145.962,60881.888,61617.814,62353.74,63216.252,64078.764,64941.276,65803.788,66666.3,67593.706,68521.11200000001,69448.518,70375.924,71303.33,72248.126,73192.922,74137.718,75082.514,76027.31,76973.398,77919.486,78865.574,79811.662,80757.75,81674.118,82590.486,83506.85399999999,84423.222,85339.59,86253.42599999999,87167.262,88081.098,88994.93400000001,89908.77,90794.046,91679.322,92564.598,93449.874,94335.15,95216.682,96098.21399999999,96979.746,97861.27799999999,98742.81,99598.724,100454.638,101310.552,102166.466,103022.38,103799.808,104577.236,105354.664,106132.092,106909.52,107632.02,108354.52,109077.02,109799.52,110522.02,111243.462,111964.904,112686.346,113407.788,114129.23,114834.194,115539.158,116244.122,116949.086,117654.05,118338.426,119022.802,119707.178,120391.55399999999,121075.93,121742.094,122408.258,123074.42199999999,123740.586,124406.75,125053.372,125699.994,126346.616,126993.238,127639.86
EU-IRL,IRL,EU-IRL,1.0,GWh,29601.35,30640.268,31679.186,32718.104,33757.022000000004,34795.94,35955.362,37114.784,38274.206000000006,39433.628000000004,40593.05,41742.450000000004,42891.850000000006,44041.25,45190.65,46340.05,47549.782,48759.514,49969.246,51178.978,52388.71,53620.992,54853.274,56085.556000000004,57317.838,58550.12,59782.01,61013.9,62245.79,63477.68,64709.57,65914.818,67120.06599999999,68325.314,69530.562,70735.81,71939.20599999999,73142.602,74345.99799999999,75549.394,76752.79,77989.11,79225.43,80461.75,81698.06999999999,82934.39,84216.178,85497.966,86779.754,88061.542,89343.33,90634.842,91926.354,93217.866,94509.378,95800.89,97071.024,98341.158,99611.292,100881.42599999999,102151.56,103353.67,104555.78,105757.89,106960.0,108162.11,109344.194,110526.278,111708.362,112890.446,114072.53,115249.6,116426.67,117603.74,118780.81,119957.88,121149.948,122342.016,123534.084,124726.152,125918.22,127124.368,128330.516,129536.66399999999,130742.81199999999,131948.96,133136.09399999998,134323.228,135510.362,136697.496,137884.63
EU-ISL,ISL,EU-ISL,1.0,GWh,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43,18802.43
EU-ITA,ITA,EU-ITA,1.0,GWh,407668.64,413450.032,419231.424,425012.816,430794.208,436575.6,442850.06799999997,449124.53599999996,455399.004,461673.472,467947.94,474181.624,480415.308,486648.99199999997,492882.676,499116.36,505385.76399999997,511655.168,517924.572,524193.976,530463.38,536707.356,542951.332,549195.308,555439.284,561683.26,567907.102,574130.944,580354.786,586578.628,592802.47,598931.534,605060.598,611189.662,617318.726,623447.79,629475.314,635502.838,641530.3620000001,647557.886,653585.41,659974.822,666364.234,672753.646,679143.058,685532.47,691946.906,698361.342,704775.778,711190.214,717604.65,723779.7760000001,729954.902,736130.028,742305.154,748480.28,754247.204,760014.128,765781.052,771547.976,777314.9,782807.078,788299.256,793791.434,799283.6120000001,804775.79,810352.044,815928.2980000001,821504.552,827080.8060000001,832657.06,838246.6440000001,843836.228,849425.812,855015.396,860604.98,865972.51,871340.04,876707.57,882075.1,887442.63,892356.786,897270.942,902185.098,907099.2540000001,912013.41,916421.62,920829.83,925238.04,929646.25,934054.46
EU-LTU,LTU,EU-LTU,1.0,GWh,17876.89,18262.148,18647.406,19032.664,19417.922,19803.18,20199.884000000002,20596.588,20993.292,21389.996,21786.7,22086.008,22385.316000000003,22684.624,22983.932,23283.24,23521.382,23759.524,23997.666,24235.808,24473.95,24691.104,24908.258,25125.412,25342.566000000003,25559.72,25756.396,25953.072,26149.748,26346.424,26543.1,26708.264,26873.428,27038.591999999997,27203.755999999998,27368.92,27482.232,27595.543999999998,27708.856,27822.167999999998,27935.48,28026.506,28117.532,28208.558,28299.584,28390.61,28467.308,28544.006,28620.703999999998,28697.402,28774.1,28865.176,28956.252,29047.327999999998,29138.404,29229.48,29327.63,29425.78,29523.93,29622.079999999998,29720.23,29801.935999999998,29883.642,29965.347999999998,30047.054,30128.76,30190.244,30251.728,30313.212,30374.696,30436.18,30491.108,30546.036,30600.964,30655.892,30710.82,30771.3,30831.78,30892.260000000002,30952.74,31013.22,31095.31,31177.4,31259.489999999998,31341.579999999998,31423.67,31531.336,31639.002,31746.667999999998,31854.334,31962.0
