VALUE
S1D1
S1D2
S1D3
S1D4
S1D5
S1D6
S1D7
S1D8
S2D1
S2D2
S2D3
S2D4
S2D5
S2D6
S2D7
S2D8
S3D1
S3D2
S3D3
S3D4
S3D5
S3D6
S3D7
S3D8
S4D1
S4D2
S4D3
S4D4
S4D5
S4D6
S4D7
S4D8
