NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
SWE_Hyd_Rusfors17650,79.9,79.9,79.9,79.9,63.5,16.9,14.0,13.7,14.1,20.8,47.8,74.6
SWE_Hyd_Seitevare17652,30.7,21.6,30.4,48.6,50.9,37.4,38.8,46.8,79.9,79.9,79.9,79.9
SWE_Hyd_Selsfors17653,79.9,75.7,69.4,66.7,62.9,60.2,59.9,62.7,61.9,66.9,67.2,76.2
SWE_Hyd_Sillre17654,79.9,79.9,79.9,75.7,55.1,32.6,16.1,15.8,27.8,42.2,68.4,79.9
SWE_Hyd_Skallbole17655,79.9,75.7,69.4,66.7,62.9,60.2,59.9,62.7,61.9,66.9,67.2,76.2
SWE_Hyd_Skedvi17656,29.6,34.9,31.0,21.4,23.3,79.9,79.9,79.9,79.9,38.6,18.2,21.5
SWE_Hyd_Skoga17657,28.9,48.7,79.9,79.9,79.9,79.9,49.8,55.7,41.4,30.0,26.1,24.3
SWE_Hyd_Skogaby17658,43.7,47.1,78.0,79.9,79.9,55.9,49.9,57.0,66.1,79.9,79.9,56.0
SWE_Hyd_Soderfors17659,40.8,45.8,79.9,79.9,79.9,48.0,47.3,53.6,62.7,74.3,79.9,55.7
SWE_Hyd_Spjutmo17660,79.9,75.7,69.4,66.7,62.9,60.2,59.9,62.7,61.9,66.9,67.2,76.2
SWE_Hyd_Stadsforsen17661,79.9,79.9,79.9,60.4,55.2,51.4,46.6,47.2,47.2,45.6,64.3,79.9
SWE_Hyd_Stalon17662,79.9,79.9,79.9,22.5,15.9,13.8,13.7,13.8,14.6,15.7,20.0,79.9
SWE_Hyd_Stenkullafors17663,24.1,24.1,30.9,79.9,79.9,77.9,79.9,79.9,79.9,41.1,29.3,24.1
SWE_Hyd_Stensele17664,25.1,29.1,39.7,47.8,61.3,79.9,79.9,79.9,79.9,27.4,18.2,20.0
SWE_Hyd_Storfinnforsen17667,59.9,59.9,60.2,63.2,68.4,79.9,79.9,79.9,79.9,64.4,60.2,59.9
SWE_Hyd_Stornorrfors17668,79.9,79.9,76.8,73.9,69.2,63.9,60.0,59.9,61.7,73.1,79.9,79.9
