REGION,TECHNOLOGY,VALUE
GLOBAL,PWRBIOCANNO01,45
GLOBAL,PWRCOGUSARA01,30
GLOBAL,PWRSPVHUNXX01,30
GLOBAL,PWRCCGRUSMV00,30
GLOBAL,PWRSPVLKAXX01,30
GLOBAL,PWRCOGMNGXX01,30
GLOBAL,PWROILBRASO01,30
GLOBAL,PWRWOFSVKXX01,30
GLOBAL,PWRCOGCHNJX01,30
GLOBAL,PWRWAVBRNXX01,20
GLOBAL,PWRCOABDIXX01,30
GLOBAL,PWROCGSGPXX01,30
GLOBAL,PWRGEOIRLXX01,30
GLOBAL,PWROCGJPNCE00,30
GLOBAL,PWRWOFJPNTO01,30
GLOBAL,PWRWASLAOXX01,30
GLOBAL,PWRGEOCYPXX01,30
GLOBAL,PWROCGGRCXX00,30
GLOBAL,PWROILCHNTI01,30
GLOBAL,PWRCCGHRVXX01,30
GLOBAL,PWRCOGARMXX01,30
GLOBAL,PWRSPVSVKXX01,30
GLOBAL,PWRCCGSENXX00,30
GLOBAL,PWRCCGERIXX01,30
GLOBAL,PWRCOAISRXX01,30
GLOBAL,PWRURNLSOXX01,60
GLOBAL,PWROILCHNSI01,30
GLOBAL,PWRPETMLIXX01,30
GLOBAL,PWRSPVBELXX01,30
GLOBAL,PWROCGJPNHO00,30
GLOBAL,PWRURNBRAJ301,60
GLOBAL,PWROCGATAXX00,30
GLOBAL,PWRCOAMLTXX01,30
GLOBAL,PWROCGESHXX00,30
GLOBAL,PWROILATAXX01,30
GLOBAL,PWRCCGSENXX01,30
GLOBAL,PWRURNTTOXX01,60
GLOBAL,PWROCGCODXX01,30
GLOBAL,PWRCOGGEOXX01,30
GLOBAL,PWRWAVCHNGA01,20
GLOBAL,PWRCOACHNJS01,30
GLOBAL,PWROILINDNO01,30
GLOBAL,PWROCGHUNXX00,30
GLOBAL,PWROILCHNHK01,30
GLOBAL,PWRBIOLBNXX01,45
GLOBAL,PWROCGMUSXX00,30
GLOBAL,PWRWOFINDNO01,30
GLOBAL,PWRURNNPLXX01,60
GLOBAL,PWRCOACANSK01,30
GLOBAL,PWRCOAAGOXX01,30
GLOBAL,PWRWONLUXXX01,30
GLOBAL,PWRGEOBRACN01,30
GLOBAL,PWRURNESPXX01,60
GLOBAL,PWRHYDUSAAZ01,100
GLOBAL,PWRURNKWTXX01,60
GLOBAL,PWRCCGUSAGU00,30
GLOBAL,PWRPETPOLXX01,30
GLOBAL,PWRPETSOMXX01,30
GLOBAL,PWRPETBRAJ101,30
GLOBAL,PWRCCGIRLXX00,30
GLOBAL,PWROCGKENXX00,30
GLOBAL,PWRWOFCHNHA01,30
GLOBAL,PWRHYDBELXX01,100
GLOBAL,PWROCGRUSMV01,30
GLOBAL,PWRBIOHTIXX01,45
GLOBAL,PWRWOFHTIXX01,30
GLOBAL,PWRCOAPERXX01,30
GLOBAL,PWRHYDKHMXX01,100
GLOBAL,PWRGEOCHNJS01,30
GLOBAL,PWROTHCHNZH01,30
GLOBAL,PWRSPVSRBXX01,30
GLOBAL,PWRSPVUSASW01,30
GLOBAL,PWRWASUSAME01,30
GLOBAL,PWRGEOUSAGU01,30
GLOBAL,PWROTHRUSCE01,30
GLOBAL,PWRCOACYPXX01,30
GLOBAL,PWRWONKGZXX01,30
GLOBAL,PWRBIOSOMXX01,45
GLOBAL,PWRCOGLBNXX01,30
GLOBAL,PWRURNCIVXX01,60
GLOBAL,PWRBIOBFAXX01,45
GLOBAL,PWRURNOMNXX01,60
GLOBAL,PWRCSPCHNGX01,30
GLOBAL,PWRPETFJIXX01,30
GLOBAL,PWROTHGEOXX01,30
GLOBAL,PWRSPVGUFXX01,30
GLOBAL,PWROTHAUTXX01,30
GLOBAL,PWROTHFINXX01,30
GLOBAL,PWRCOAINDWE01,30
GLOBAL,PWRBIOUSANE01,45
GLOBAL,PWROCGGTMXX01,30
GLOBAL,PWROTHBRAWE01,30
GLOBAL,PWROTHMMRXX01,30
GLOBAL,PWROILIRNXX01,30
GLOBAL,PWRWASESHXX01,30
GLOBAL,PWRGEOUSARM01,30
GLOBAL,PWRWONRUSNW01,30
GLOBAL,PWRHYDDNKXX01,100
GLOBAL,PWROCGAUSQL01,30
GLOBAL,PWRCSPMDAXX01,30
GLOBAL,PWRPETCYPXX01,30
GLOBAL,PWRWONCHNBE01,30
GLOBAL,PWROILNERXX01,30
GLOBAL,PWRWONMLIXX01,30
GLOBAL,PWROCGCHNSH00,30
GLOBAL,PWRCCGCHNTI00,30
GLOBAL,PWRCOABRANE01,30
GLOBAL,PWRWAVUSASE01,20
GLOBAL,PWRCCGRWAXX01,30
GLOBAL,PWRCSPCHNEM01,30
GLOBAL,PWRWOFKENXX01,30
GLOBAL,PWRWONUSASN01,30
GLOBAL,PWRGEOTKMXX01,30
GLOBAL,PWRCOGCHNZH01,30
GLOBAL,PWRCCGUSAER00,30
GLOBAL,PWRBIOUSANY01,45
GLOBAL,PWRCOGBLZXX01,30
GLOBAL,PWROCGZWEXX00,30
GLOBAL,PWRWONGUFXX01,30
GLOBAL,PWRHYDGABXX01,100
GLOBAL,PWRWAVTJKXX01,20
GLOBAL,PWRURNJORXX01,60
GLOBAL,PWRCCGJPNSH01,30
GLOBAL,PWRSPVCHNHA01,30
GLOBAL,PWROILCHNQI01,30
GLOBAL,PWRCCGCHNGU00,30
GLOBAL,PWROILNZLXX01,30
GLOBAL,PWRWASSURXX01,30
GLOBAL,PWROCGKHMXX01,30
GLOBAL,PWRCOGCHNTJ01,30
GLOBAL,PWRCCGCOGXX00,30
GLOBAL,PWRCOAESTXX01,30
GLOBAL,PWROTHNORXX01,30
GLOBAL,PWRCOGRUSSO01,30
GLOBAL,PWROILGEOXX01,30
GLOBAL,PWRURNUSAAZ01,60
GLOBAL,PWRCCGJAMXX01,30
GLOBAL,PWRWAVYEMXX01,20
GLOBAL,PWRCOAJPNOK01,30
GLOBAL,PWRBIOPRKXX01,45
GLOBAL,PWROCGPANXX00,30
GLOBAL,PWRCOAVENXX01,30
GLOBAL,PWRWAVCPVXX01,20
GLOBAL,PWRWASCPVXX01,30
GLOBAL,PWROTHCANNL01,30
GLOBAL,PWROCGUZBXX00,30
GLOBAL,PWRCCGUSANE00,30
GLOBAL,PWRCCGBIHXX00,30
GLOBAL,PWRCOAUSASE01,30
GLOBAL,PWROCGECUXX00,30
GLOBAL,PWRWONVENXX01,30
GLOBAL,PWROTHRUSMV01,30
GLOBAL,PWRBIOBLZXX01,45
GLOBAL,PWRCCGGMBXX01,30
GLOBAL,PWRCOGCYPXX01,30
GLOBAL,PWRCCGCHNCH00,30
GLOBAL,PWROILMEXXX01,30
GLOBAL,PWROILKGZXX01,30
GLOBAL,PWRURNINDNE01,60
GLOBAL,PWRWONNICXX01,30
GLOBAL,PWRCCGTHAXX01,30
GLOBAL,PWRHYDCHNHJ01,100
GLOBAL,PWRSPVJPNKY01,30
GLOBAL,PWRCOAUSAFR01,30
GLOBAL,PWRWOFNZLXX01,30
GLOBAL,PWRWONRUSFE01,30
GLOBAL,PWRWONMNGXX01,30
GLOBAL,PWRWAVINDNE01,20
GLOBAL,PWRCOAUSANE01,30
GLOBAL,PWROTHRUSNW01,30
GLOBAL,PWRHYDSVNXX01,100
GLOBAL,PWRPETCHNSH01,30
GLOBAL,PWRWASVNMXX01,30
GLOBAL,PWRCCGETHXX01,30
GLOBAL,PWRWONTCDXX01,30
GLOBAL,PWRWAVUSANW01,20
GLOBAL,PWRPETSVNXX01,30
GLOBAL,PWROTHCANMB01,30
GLOBAL,PWRCSPNAMXX01,30
GLOBAL,PWRPETBLZXX01,30
GLOBAL,PWRWAVUSARE01,20
GLOBAL,PWRWOFBOLXX01,30
GLOBAL,PWRSPVCHNHB01,30
GLOBAL,PWRHYDUSARE01,100
GLOBAL,PWROCGCMRXX00,30
GLOBAL,PWROCGCANNL01,30
GLOBAL,PWRGEOAUSSA01,30
GLOBAL,PWRCCGUSANE01,30
GLOBAL,PWROCGTZAXX00,30
GLOBAL,PWRPETCANNO01,30
GLOBAL,PWRCCGUSASN01,30
GLOBAL,PWROCGAUSTA00,30
GLOBAL,PWROTHALBXX01,30
GLOBAL,PWROCGCANAR01,30
GLOBAL,PWRCCGBRNXX01,30
GLOBAL,PWRCCGCHNSI00,30
GLOBAL,PWRCSPALBXX01,30
GLOBAL,PWRWOFSENXX01,30
GLOBAL,PWRBIOCHNMA01,45
GLOBAL,PWRGEOCMRXX01,30
GLOBAL,PWROCGSLEXX01,30
GLOBAL,PWRURNPERXX01,60
GLOBAL,PWROCGCHNWM00,30
GLOBAL,PWRWONCHNCH01,30
GLOBAL,PWRGEOJPNKY01,30
GLOBAL,PWRCSPRUSSI01,30
GLOBAL,PWRCOGDZAXX01,30
GLOBAL,PWRWOFBLZXX01,30
GLOBAL,PWRCSPGMBXX01,30
GLOBAL,PWRWAVCHNHA01,20
GLOBAL,PWRWOFCHNSD01,30
