REGION,TECHNOLOGY,VALUE
GLOBAL,PWRHYDAUSQL01,31.536
GLOBAL,PWROILAUSQL01,31.536
GLOBAL,PWRSPVAUSQL01,31.536
GLOBAL,PWROTHAUSQL01,31.536
GLOBAL,PWRCSPAUSQL01,31.536
GLOBAL,PWRBIOAUSQL01,31.536
GLOBAL,PWRCOAAUSQL01,31.536
GLOBAL,PWRURNAUSQL01,31.536
GLOBAL,PWRWONAUSQL01,31.536
GLOBAL,PWRWASAUSQL01,31.536
GLOBAL,PWRWOFAUSQL01,31.536
GLOBAL,PWRWAVAUSQL01,31.536
GLOBAL,PWRPETAUSQL01,31.536
GLOBAL,PWRGEOAUSQL01,31.536
GLOBAL,PWRCOGAUSQL01,31.536
GLOBAL,PWRCCGAUSSA00,31.536
GLOBAL,PWROCGAUSSA00,31.536
GLOBAL,PWRHYDAUSSA01,31.536
GLOBAL,PWROILAUSSA01,31.536
GLOBAL,PWRSPVAUSSA01,31.536
GLOBAL,PWROTHAUSSA01,31.536
GLOBAL,PWRCSPAUSSA01,31.536
GLOBAL,PWRBIOAUSSA01,31.536
GLOBAL,PWRCOAAUSSA01,31.536
GLOBAL,PWRURNAUSSA01,31.536
GLOBAL,PWRWONAUSSA01,31.536
GLOBAL,PWRWASAUSSA01,31.536
GLOBAL,PWRWOFAUSSA01,31.536
GLOBAL,PWRWAVAUSSA01,31.536
GLOBAL,PWRPETAUSSA01,31.536
GLOBAL,PWRGEOAUSSA01,31.536
GLOBAL,PWRCOGAUSSA01,31.536
GLOBAL,PWRCCGAUSSW00,31.536
GLOBAL,PWROCGAUSSW00,31.536
GLOBAL,PWRHYDAUSSW01,31.536
GLOBAL,PWROILAUSSW01,31.536
GLOBAL,PWRSPVAUSSW01,31.536
GLOBAL,PWROTHAUSSW01,31.536
GLOBAL,PWRCSPAUSSW01,31.536
GLOBAL,PWRBIOAUSSW01,31.536
GLOBAL,PWRCOAAUSSW01,31.536
GLOBAL,PWRURNAUSSW01,31.536
GLOBAL,PWRWONAUSSW01,31.536
GLOBAL,PWRWASAUSSW01,31.536
GLOBAL,PWRWOFAUSSW01,31.536
GLOBAL,PWRWAVAUSSW01,31.536
GLOBAL,PWRPETAUSSW01,31.536
GLOBAL,PWRGEOAUSSW01,31.536
GLOBAL,PWRCOGAUSSW01,31.536
GLOBAL,PWRCCGAUSWA00,31.536
GLOBAL,PWROCGAUSWA00,31.536
GLOBAL,PWRHYDAUSWA01,31.536
GLOBAL,PWROILAUSWA01,31.536
GLOBAL,PWRSPVAUSWA01,31.536
GLOBAL,PWROTHAUSWA01,31.536
GLOBAL,PWRCSPAUSWA01,31.536
GLOBAL,PWRBIOAUSWA01,31.536
