Technology,Unit,2020,2030,2040,2050
Battery storage (4-hr Li-ion),USD\ :sub:`2020`\/kWh,350,350,350,350
Solar photovoltaic,USD\ :sub:`2020`\/kW,1000,1000,1000,1000
