gtd_region,region
USATA,USAFR
USATC,USAFR
USATI,USACA
USATP,USAAZ
USATR,USANW
USATV,USASC
USAWA,USANW
USAWC,USAAZ
USAWM,USARA
USAWW,USANW
USAYA,USASV
UZBXX,UZBXX
VENXX,VENXX
VNMCE,VNMXX
VNMNO,VNMXX
VNMSO,VNMXX
YEMXX,YEMXX
ZAFXX,ZAFXX
ZMBXX,ZMBXX
ZWEXX,ZWEXX
