NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
AGO_Hyd_Capacity Scaler,80,80,80,66.5,29.6,28.4,28.4,28.5,29.1,34.1,61.1,79.8
BDI_Hyd_Capacity Scaler,48.9,50.9,61.3,61.3,61.3,14.1,6.1,8.1,21.4,52.9,61.3,60.5
BEN_Hyd_Capacity Scaler,7.4,7.5,8.8,14.7,37.1,73.8,73.8,73.8,73.8,44.7,10.3,7.5
BFA_Hyd_Capacity Scaler,7.3,7.8,9.2,15.1,35.9,72.8,72.8,72.8,72.8,34.8,8,7.5
BWA_Hyd_Capacity Scaler,39.3,39.3,39.3,24.5,8.4,5.7,4.3,8.9,13.8,24.4,37.4,35.6
CAF_Hyd_Capacity Scaler,60,60,60.6,64,72,80,80,80,80,78.7,61.1,60
CIV_Hyd_Capacity Scaler,5.8,7.2,15.3,26.9,38.7,57.9,58.3,48,58.3,56.5,16.3,7.8
CMR_Hyd_Capacity Scaler,43.8,44,45.3,49.4,62.1,71.6,80,80,80,75.5,47.8,44.1
COD_Hyd_Capacity Scaler,57.4,58,66.1,44.5,20.5,8,6.6,7,9.5,19.6,49.7,65.9
COG_Hyd_Capacity Scaler,57,57.8,80,80,31.5,16.7,16.5,16.6,17.3,26.6,80,80
CPV_Hyd_Capacity Scaler,38.3,38.8,42.2,48.3,61.7,80,80,73.2,80,72.4,44.4,39.7
DJI_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
DZA_Hyd_Capacity Scaler,19.5,19.5,19.5,13.6,9.5,3.8,2,2.2,3.6,3.4,12.9,19.5
EGY_Hyd_Capacity Scaler,28.8,28.8,33.2,46,59.6,80,80,80,80,66.8,38.7,31.3
ERI_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
ESH_Hyd_Capacity Scaler,22.5,22.5,20.9,21.9,9.7,4.1,2.4,2.3,4.2,6.7,12.4,21.3
ETH_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
GAB_Hyd_Capacity Scaler,51,53.8,80,80,77.7,25.3,10.5,12.5,47.7,80,80,66.3
GHA_Hyd_Capacity Scaler,38.3,38.8,42.2,48.3,61.7,80,80,73.2,80,72.4,44.4,39.7
GIN_Hyd_Capacity Scaler,13.6,13.6,13.7,14.7,29,73,80,80,80,80,20.1,13.9
GMB_Hyd_Capacity Scaler,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
GNB_Hyd_Capacity Scaler,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
GNQ_Hyd_Capacity Scaler,17.8,18.8,28.4,28.4,27.6,8.3,2.8,3.6,16.6,28.4,28.4,23.4
KEN_Hyd_Capacity Scaler,33.4,30.2,48.3,76.7,76.7,33.3,28.2,25.7,21.8,72.4,73.3,55.2
LBR_Hyd_Capacity Scaler,39,40,41.5,51.6,55.7,80,80,80,80,76.2,52.4,40.9
LBY_Hyd_Capacity Scaler,8.9,13.3,21.8,30.6,43.5,76.8,79.4,79.4,79.4,40.1,11.5,8.3
LSO_Hyd_Capacity Scaler,80,80,80,67,61.5,60.1,60,62.1,63.7,65.7,80,72.6
MAR_Hyd_Capacity Scaler,22.5,22.5,20.9,21.9,9.7,4.1,2.4,2.3,4.2,6.7,12.4,21.3
MDG_Hyd_Capacity Scaler,80,80,80,58.2,54.4,53.7,53.5,53.3,53,54,60.5,80
MLI_Hyd_Capacity Scaler,32.4,32.4,33.5,35.9,43.9,78.9,80,80,80,78.7,37.6,32.4
MOZ_Hyd_Capacity Scaler,80,80,80,64.7,60.8,60.1,60.1,60,61.2,61.6,67.2,80
MRT_Hyd_Capacity Scaler,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
MUS_Hyd_Capacity Scaler,41,41,41,11.5,6.1,5.1,4.8,4.5,4.1,5.5,14.4,41
MWI_Hyd_Capacity Scaler,80,80,80,47,38.1,37.5,37.5,37.5,37.6,38.9,48.3,80
NAM_Hyd_Capacity Scaler,80,80,80,80,41.6,41.1,41.1,41.1,41.5,44.3,62.9,79.4
NER_Hyd_Capacity Scaler,7.4,7.5,8.8,14.7,37.1,73.8,73.8,73.8,73.8,44.7,10.3,7.5
NGA_Hyd_Capacity Scaler,7.4,7.5,8.8,14.7,37.1,73.8,73.8,73.8,73.8,44.7,10.3,7.5
RWA_Hyd_Capacity Scaler,44,45.8,55.1,55.1,55.1,12.7,5.5,7.3,19.2,47.6,55.1,54.4
SDN_Hyd_Capacity Scaler,9.4,9.5,14.6,29.5,48.6,78.7,78.7,78.7,78.7,57.5,20.7,12.2
SEN_Hyd_Capacity Scaler,11.3,11.4,11.6,12.7,25.1,76.8,80,80,80,80,16.8,11.4
SLE_Hyd_Capacity Scaler,7.3,7.3,7.4,8.3,22.5,64.5,72.6,72.6,72.6,72.6,13.3,7.5
SWZ_Hyd_Capacity Scaler,78.5,78.5,66.8,25.9,12.7,8.8,7.9,8,17.6,36.2,78.5,78.5
TGO_Hyd_Capacity Scaler,4.4,4.6,6.8,12.7,24,44,44,44,44,33.5,5.9,4.8
TUN_Hyd_Capacity Scaler,23.5,23.5,20.9,13.1,6.9,3.5,2.3,2.6,3.7,7.5,20.7,23.5
TZA_Hyd_Capacity Scaler,63.3,63.2,80,78.5,53.7,27.6,21.6,17.4,16,17.7,54,70.7
UGA_Hyd_Capacity Scaler,57.2,60.5,77.3,77.3,77.3,23.8,17.5,22.7,29.1,58.2,77.3,72.7
ZAF_Hyd_Capacity Scaler,39.3,39.3,39.3,24.5,8.4,5.7,4.3,8.9,13.8,24.4,37.4,35.6
ZMB_Hyd_Capacity Scaler,80,80,80,58,53,52.7,52.7,52.7,52.7,53.4,60.8,80
ZWE_Hyd_Capacity Scaler,80,80,80,65.5,60.3,60,60,60,60.1,61,66.2,80
ALB_Hyd_Capacity Scaler,56.8,59.3,54.1,41.6,19.7,9.9,6.9,6.4,19.5,37.7,59.3,59.3
ARM_Hyd_Capacity Scaler,3.9,6.5,39.3,39.3,39.3,39.3,16.6,12.6,11.8,12.3,11.3,6.2
AUT_Hyd_Capacity Scaler,26.6,28.9,40,45.9,48.1,50.8,51.1,44.2,40.4,40.1,41.1,34.5
AZE_Hyd_Capacity Scaler,3.8,9.5,38.5,38.5,38.5,38.5,29.5,24.1,22.1,24.2,23.1,9
BEL_Hyd_Capacity Scaler,20.9,20.9,20.9,10.9,7.3,6.3,6,3.9,5.7,12.4,18.5,20.9
BGR_Hyd_Capacity Scaler,19.4,26.9,26.9,25.7,23.8,12.7,9.2,4.5,4.3,7.7,17.3,20.8
BIH_Hyd_Capacity Scaler,39.8,44.5,48.4,47,19.3,11.8,8.2,8.7,22.7,42.3,49,49
BLR_Hyd_Capacity Scaler,12.6,21,59.9,67.3,61.9,55.8,55.3,47.9,54.1,63.7,61.5,21.3
CHE_Hyd_Capacity Scaler,20.5,21.4,29.2,40.3,45.3,44.9,41.6,31.7,37.3,45.4,37.2,29.8
CYP_Hyd_Capacity Scaler,42.6,48.1,51.5,49.5,39.1,22,9.9,9,8.8,18.5,38,46.5
CZE_Hyd_Capacity Scaler,17.9,18.3,18.5,16.9,10.3,12.1,14.4,10.8,9.6,10,14.8,18.5
DEU_Hyd_Capacity Scaler,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
DNK_Hyd_Capacity Scaler,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
ESP_Hyd_Capacity Scaler,33.1,33.1,22.7,26.2,20.3,11.8,5.3,4.6,8.5,21.7,32.9,33.3
EST_Hyd_Capacity Scaler,18.4,18.9,25.3,25.3,16.3,18.1,18.9,16.5,22.8,25.3,25.3,21.2
FIN_Hyd_Capacity Scaler,44.8,48.4,42,38.4,62.2,55.8,53.9,48.4,44.8,58.5,56.7,48.4
FRA_Hyd_Capacity Scaler,38.2,38.4,34.7,34.9,28.3,19,10.4,8,17.6,34,40.8,41
GBR_Hyd_Capacity Scaler,34.5,33.7,32.2,15.1,8.4,6,5.5,8,17.2,30.7,34.5,34.5
GEO_Hyd_Capacity Scaler,8.9,9.4,30.7,50.1,50.1,50.1,37.8,30.6,30.2,40.4,29.3,12.9
GRC_Hyd_Capacity Scaler,30.5,31.9,28.3,17.5,9.7,5.6,4.1,3.3,3.9,15.5,30.3,31.9
HRV_Hyd_Capacity Scaler,43.8,46,48.3,43.1,30.1,21.2,14.7,14.2,32.3,49,52.9,49.1
HUN_Hyd_Capacity Scaler,16.3,20.2,24.9,24.9,24.3,24.9,23.6,20.1,21.1,22,22.9,19.6
IRL_Hyd_Capacity Scaler,38.8,38.8,29.6,15.2,9,7.1,4.6,7.6,10.4,28.6,38.8,38.8
ISL_Hyd_Capacity Scaler,45.2,45.9,58.5,74.2,75.5,65.3,58,54.5,61.5,71.7,68.7,49.4
ITA_Hyd_Capacity Scaler,17.2,19.4,21.8,26.1,34.7,32.7,26.7,19.3,26.6,39.4,28.6,21.5
KOS_Hyd_Capacity Scaler,44.9,53.4,54.8,54.8,39.3,32,27,21.1,31.9,45.7,54.8,54.8
LTU_Hyd_Capacity Scaler,13.9,13.8,15,15,9.2,10.4,12,8.2,9.6,12.3,15,15
LUX_Hyd_Capacity Scaler,16.5,16.5,16.5,8.4,4.8,4.5,4.2,2,4.3,12.4,16,16.5
LVA_Hyd_Capacity Scaler,18.4,18.9,25.3,25.3,16.3,18.1,18.9,16.5,22.8,25.3,25.3,21.2
MDA_Hyd_Capacity Scaler,42.6,59.2,80,80,72.1,80,80,52.4,60.2,49.7,53.8,58.9
MKD_Hyd_Capacity Scaler,37.9,45.4,45.4,36.4,21.3,12.6,7.4,5.6,11.9,22.9,44.8,45.4
MNE_Hyd_Capacity Scaler,70.7,77.1,76.3,71.2,27.2,12.7,8.3,11.3,40,78,80,80
NLD_Hyd_Capacity Scaler,36.5,36.9,38.2,26.8,22.5,24.8,25,20.7,20.2,26.6,37.6,38.2
NOR_Hyd_Capacity Scaler,63.1,58.6,52.2,49.2,45.4,42.5,42.1,44.9,44.2,49.4,49.7,59.2
POL_Hyd_Capacity Scaler,18.2,19.7,21.1,18.9,11.8,13.6,15.7,11.8,12.3,13.5,17,19.9
PRT_Hyd_Capacity Scaler,42.9,42.9,25.6,27.4,19.6,9.8,5.4,4.3,7.5,26.6,42.3,42.9
ROU_Hyd_Capacity Scaler,14.8,21.6,37.8,37.8,36.6,37,32.7,23.1,22.8,24.1,22.9,22
SRB_Hyd_Capacity Scaler,44.9,53.4,54.8,54.8,39.3,32,27,21.1,31.9,45.7,54.8,54.8
SVK_Hyd_Capacity Scaler,16.3,20.2,24.9,24.9,24.3,24.9,23.6,20.1,21.1,22,22.9,19.6
SVN_Hyd_Capacity Scaler,16.6,20.1,37.9,57.4,57.4,57.4,51.8,40.6,46.8,57.4,49.5,26.4
SWE_Hyd_Capacity Scaler,54.7,59.5,50.8,48.8,46.4,43.1,38,39.1,35,48.4,47.6,54.7
UKR_Hyd_Capacity Scaler,21.2,26.6,29.7,29.7,22,27,29.7,17.9,21.6,19.7,26.9,27.7
ATA_Hyd_Capacity Scaler,51.3,47.2,43,26.9,30.1,31.5,31.3,24.7,27.2,29,43.7,54.9
AUS-NT_Hyd_Capacity Scaler,30.4,30.4,30.4,30.4,14.9,8.9,5,5.1,4,3,6.9,15.4
AUS-QL_Hyd_Capacity Scaler,30.4,30.4,30.4,30.4,21.9,10.6,9.5,4.1,4.1,6.7,12.3,20
AUS-SA_Hyd_Capacity Scaler,5.5,4.9,4.3,13.3,25.2,30.4,30.4,30.4,30.4,24.6,12.1,10.2
AUS-SW_Hyd_Capacity Scaler,17.9,17.8,16.1,18,22.8,26.3,27.8,26.6,24.3,25.5,18.1,13.8
AUS-TA_Hyd_Capacity Scaler,6.5,4.8,5.8,16.5,27.3,30,30.4,30.4,30.4,25.8,14.1,11.4
AUS-VI_Hyd_Capacity Scaler,6.2,5.5,3.7,8.8,21.9,30.3,30.4,30.4,30.4,26.6,11.9,9.4
AUS-WA_Hyd_Capacity Scaler,30.4,30.4,30.4,30.4,14.9,8.9,5,5.1,4,3,6.9,15.4
FJI_Hyd_Capacity Scaler,26.2,22.6,48.6,45.3,52.1,70.9,70.9,70.9,70.9,46.8,35.7,37.7
NZL_Hyd_Capacity Scaler,35.8,24.8,37.5,44.3,58,61.1,57.3,62.7,62.7,54.6,39.4,41.5
PNG_Hyd_Capacity Scaler,55.9,55.9,55.9,55.9,51.7,29.4,14,13.2,19.2,24,33.7,44.9
ARG_Hyd_Capacity Scaler,51.3,47.2,43,26.9,30.1,31.5,31.3,24.7,27.2,29,43.7,54.9
BOL_Hyd_Capacity Scaler,80,80,80,52.2,38.6,36.2,36.3,36.2,36.1,40.3,49.6,80
BRA-CN_Hyd_Capacity Scaler,80,80,80,47.1,24.3,19.7,19.2,19.4,20.7,33.8,64.1,79.9
BRA-CW_Hyd_Capacity Scaler,80,80,80,46.1,25.3,20.4,19.2,19.5,22.7,34.7,63.1,80
BRA-J1_Hyd_Capacity Scaler,80,80,80,47.1,24.3,19.7,19.2,19.4,20.7,33.8,64.1,79.9
BRA-J2_Hyd_Capacity Scaler,80,80,80,47.1,24.3,19.7,19.2,19.4,20.7,33.8,64.1,79.9
BRA-J3_Hyd_Capacity Scaler,80,80,80,47.1,24.3,19.7,19.2,19.4,20.7,33.8,64.1,79.9
BRA-NE_Hyd_Capacity Scaler,78.7,80,78.3,41.2,24.5,21.3,19.8,19.3,20.2,30.8,73.5,78.3
BRA-NW_Hyd_Capacity Scaler,58.8,80,80,80,80,56.1,34.2,22.8,19.8,19.3,22.1,30.4
BRA-SE_Hyd_Capacity Scaler,80,80,78.9,43.9,31.4,27.8,23.7,21.9,30.9,37.2,59.5,80
BRA-SO_Hyd_Capacity Scaler,71.9,74.8,62.4,64.3,75.8,78.2,77.7,73.4,78.5,78.9,68.3,66.5
BRA-WE_Hyd_Capacity Scaler,75.8,80,80,53.3,33.5,24.8,20.9,19.8,22.7,31.8,55.7,73.2
CHL_Hyd_Capacity Scaler,30.3,27.8,26.5,35,76.8,76.6,77.1,76.6,55.9,38.7,38.7,37.1
COL_Hyd_Capacity Scaler,11.5,17.1,22.8,61.1,71.6,68.8,61.2,67.4,69.3,70.7,55.3,27.2
ECU_Hyd_Capacity Scaler,45.2,59.8,65.3,65.3,65.3,54,42.1,25.3,26.2,60.3,65.3,55.5
GUF_Hyd_Capacity Scaler,69.4,58.6,55.4,69.4,69.4,69.4,31.1,15.4,7.9,6.9,16.7,49.9
GUY_Hyd_Capacity Scaler,69.4,58.6,55.4,69.4,69.4,69.4,31.1,15.4,7.9,6.9,16.7,49.9
PER_Hyd_Capacity Scaler,71.9,77.8,80,71,66.5,61.2,56.4,49.6,49.9,65.1,70.1,76
PRY_Hyd_Capacity Scaler,77.2,73.3,73.6,71.5,70.8,68.2,62.7,64.9,69.9,73.3,76.4,78.7
URY_Hyd_Capacity Scaler,48.8,60,37.9,61.9,62.1,61.7,62.1,46.4,50.8,49,46.7,36.5
VEN_Hyd_Capacity Scaler,40.6,38.5,39.1,58.3,75.7,80,80,80,74.8,69.6,69.4,53.1
CAN-AB_Hyd_Capacity Scaler,34.8,37,45.9,73.5,79.9,80,80,74.2,65.1,52.5,38.2,34.8
CAN-AR_Hyd_Capacity Scaler,64.8,57.4,72.7,80,76.2,55.1,51.8,51.3,54.6,66.2,80,72.4
CAN-BC_Hyd_Capacity Scaler,65.8,65.5,66.3,68.6,64.1,59,52,44.5,45.6,65.5,70.6,66.1
CAN-MB_Hyd_Capacity Scaler,22.5,26.3,45.3,80,80,80,77.8,69,73,67.4,37.8,23.5
CAN-NL_Hyd_Capacity Scaler,56.6,55.4,58.2,74.9,80,80,61.3,59.6,65.3,78.2,75.5,62.8
CAN-NO_Hyd_Capacity Scaler,45.2,45.9,58.5,74.2,75.5,65.3,58,54.5,61.5,71.7,68.7,49.4
CAN-ON_Hyd_Capacity Scaler,37.7,41.2,62.8,79.8,77.8,62.3,55.5,55,64.8,74.5,76.3,44.2
CAN-QC_Hyd_Capacity Scaler,31.9,32.9,46.9,70.4,80,69.7,60.7,57.2,71,78.6,63.6,36.6
CAN-SK_Hyd_Capacity Scaler,32.8,35.2,48.5,77.5,78.1,73.7,70.6,57.8,60.3,53.8,44.5,34.8
CRI_Hyd_Capacity Scaler,23.4,15.7,14.3,16.3,48.7,79.6,80,80,80,80,61.2,38.4
CUB_Hyd_Capacity Scaler,14.7,8.9,7.3,22.4,59,19.1,8.5,30,59,59,59,28.7
DOM_Hyd_Capacity Scaler,14.7,8.9,7.3,22.4,59,19.1,8.5,30,59,59,59,28.7
GTM_Hyd_Capacity Scaler,20.8,19.1,17.4,18.2,37.2,80,80,77.5,80,79.9,41.3,28.5
HND_Hyd_Capacity Scaler,24.1,20.4,18.6,18.8,41.1,80,73.8,80,80,77.7,43.7,32.4
JAM_Hyd_Capacity Scaler,50.5,49.4,49.4,50.4,62.1,80,65.3,73.8,80,80,80,67.6
MEX_Hyd_Capacity Scaler,14.3,10.4,8,7.6,12.5,61.2,65.1,64.7,65.1,45.3,15.6,16
NIC_Hyd_Capacity Scaler,13.2,8.2,6.9,7.3,30.1,69.5,63.6,69.5,69.5,69.5,30.3,13.9
PAN_Hyd_Capacity Scaler,12.8,8.4,7.5,10.9,45.5,74.8,64.9,72.5,74.9,74.9,72.5,53.8
SLV_Hyd_Capacity Scaler,9.6,9.2,9.1,10.7,32.8,80,80,80,80,70.8,19.1,11
TTO_Hyd_Capacity Scaler,14.7,8.9,7.3,22.4,59,19.1,8.5,30,59,59,59,28.7
USA-AK_Hyd_Capacity Scaler,27.4,27.2,37.8,55.4,64,58.9,43,41.2,57,62.1,48.5,34.2
USA-AZ_Hyd_Capacity Scaler,44.2,45.5,48.9,22.6,17.2,12,39.5,44.5,31.7,27.5,23.4,44.2
USA-CA_Hyd_Capacity Scaler,52.3,52.6,52.4,25.9,16.6,10.4,6.1,5.5,6.5,9,27.7,49.5
USA-ER_Hyd_Capacity Scaler,27.3,35.1,23.7,34,50,52.5,23.5,25.6,31.8,51.3,43.5,45.3
USA-FR_Hyd_Capacity Scaler,52.6,52.6,52.6,43.6,33.3,42.6,48.8,43.8,49.8,30.8,34.4,43.4
USA-GU_Hyd_Capacity Scaler,5.1,12.3,28.6,30.7,30.7,30.7,16.4,30.7,30.3,6.7,6,3.1
USA-HA_Hyd_Capacity Scaler,52.6,52.6,52.6,14.9,8.2,5.6,5.3,5.3,5.4,8.4,44.5,52.6
USA-ME_Hyd_Capacity Scaler,5.3,9.2,48.7,52.6,52.6,48.8,35,39.6,50.4,45.4,48.3,10.7
USA-MW_Hyd_Capacity Scaler,6.7,15.8,49.3,52.6,52.3,47.7,42.5,38,40.6,40,33.4,9.1
USA-NE_Hyd_Capacity Scaler,27,29.1,47.5,52.6,47.2,31.6,22.8,23.5,26,43,52.4,34.6
USA-NW_Hyd_Capacity Scaler,40.6,44.5,50.3,45.7,38.3,29.5,14.9,11.9,12,14.8,30.2,35.6
USA-NY_Hyd_Capacity Scaler,24.3,27,51.2,52.6,49.5,26.5,19.2,23,31.6,41.1,52.5,35
USA-PR_Hyd_Capacity Scaler,15.9,9.9,7,20.3,52.6,16.9,8.4,26.9,52.6,52.6,52.6,30.4
USA-RA_Hyd_Capacity Scaler,9.7,14.6,34.2,49.8,52.6,48,50.9,44.7,28.4,25.6,20.8,10.4
USA-RE_Hyd_Capacity Scaler,44.6,46.5,52.6,47.6,36.5,29.8,20.7,20,31.2,28.7,47.1,52.6
USA-RM_Hyd_Capacity Scaler,25.5,25.4,52.6,52.6,49.2,30.1,20.7,27.3,34.2,35.7,52.1,40.5
USA-RW_Hyd_Capacity Scaler,34.7,37.9,50.2,47.6,42.2,36,27.7,25,33,33.8,45,39.8
USA-SA_Hyd_Capacity Scaler,50.9,52,49.7,45.1,42,30.2,13.3,9.5,23.8,32,52.6,52.6
USA-SC_Hyd_Capacity Scaler,52.4,52.6,52.6,33.7,29.5,23.1,17.4,12,17.2,15.5,37,52.6
USA-SE_Hyd_Capacity Scaler,52.6,52.6,52.6,38,23.7,19.8,22.2,17.3,22.8,20.4,34.5,52.6
USA-SN_Hyd_Capacity Scaler,30.6,44.1,50.6,51.3,51,47.1,27.1,21.6,39.7,37.5,50.8,40.4
USA-SS_Hyd_Capacity Scaler,34.9,39.7,52,44.8,51.9,44.1,15.9,11.7,43.7,45.9,52.6,48.7
USA-SV_Hyd_Capacity Scaler,52.6,52.6,52.3,33.6,27.4,27.7,24.8,28,35.1,34.9,36.5,52.2
USA-SW_Hyd_Capacity Scaler,26.7,42.8,52.6,52.6,52,37.5,29.3,22.8,35.7,32.4,50,36
AFG_Hyd_Capacity Scaler,10.5,42.3,62.3,62.3,62.3,62.3,14.6,7.4,6.2,12.8,12.8,12.5
ARE_Hyd_Capacity Scaler,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
BGD_Hyd_Capacity Scaler,17.3,18,19.6,28.7,57.4,80,80,80,80,44.7,24.8,17.7
BHR_Hyd_Capacity Scaler,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
BRN_Hyd_Capacity Scaler,34.2,19.1,21.5,27.3,28.4,23.4,21.5,30.3,52.3,55.3,55.3,55.3
BTN_Hyd_Capacity Scaler,45.6,45.8,46.8,52.4,66.3,80,80,80,80,56.9,46.4,45.7
CHN-AN_Hyd_Capacity Scaler,9.6,28,52.5,60.7,68.9,68.9,68.9,68.9,40.3,35.8,20.6,7
CHN-BE_Hyd_Capacity Scaler,6.9,10.9,33.6,39.5,39,68.9,68.9,68.9,68.9,37.9,14.9,7.2
CHN-CH_Hyd_Capacity Scaler,8,11.1,15.9,28.9,57.9,68.3,68.9,67.2,67.8,58.8,23.5,8.5
CHN-EM_Hyd_Capacity Scaler,6.9,8.5,22,38.1,55.5,68.9,68.9,68.9,68.9,35.3,9.1,7
CHN-FU_Hyd_Capacity Scaler,12.6,32.8,68.1,68.9,68.9,68.9,35,43.9,33,12.3,11.1,7.2
CHN-GA_Hyd_Capacity Scaler,7,11.1,29.1,43.7,57.5,67.3,68.9,68.9,68.9,45.3,11.2,6.9
CHN-GD_Hyd_Capacity Scaler,12,28,43.9,68.9,68.9,68.9,63.3,63.3,38.3,15.5,8.8,7.7
CHN-GU_Hyd_Capacity Scaler,11.8,14.8,16.3,25.8,57.2,68.9,68.9,67.8,58.8,45.7,21.8,8.5
CHN-GX_Hyd_Capacity Scaler,12.4,18.4,22.8,38.3,60.5,68.9,68.7,65.2,49.4,32.3,18,7.2
CHN-HA_Hyd_Capacity Scaler,8.1,8.4,6.9,14.1,52.3,68.4,68.9,68.9,68.9,68.9,52.4,11.4
CHN-HB_Hyd_Capacity Scaler,6.9,10.4,36.1,37.6,34.9,68.9,68.9,68.9,68.9,35.9,15.9,7.3
CHN-HE_Hyd_Capacity Scaler,7,17.9,28.8,29.4,37.3,55.8,68.9,68.9,68.9,59.3,19.7,7.4
CHN-HJ_Hyd_Capacity Scaler,6.9,7.9,25.5,68.2,47.5,68.9,68.9,68.9,68.9,32,16.6,7.2
CHN-HK_Hyd_Capacity Scaler,12,28,43.9,68.9,68.9,68.9,63.3,63.3,38.3,15.5,8.8,7.7
CHN-HN_Hyd_Capacity Scaler,17.4,34.2,48.9,66,68.9,68.9,63.6,57.6,37.4,40.2,27,8.7
CHN-HU_Hyd_Capacity Scaler,7.8,12.4,16.4,29.2,53.5,68.9,68.9,67.7,65.6,46.2,20.3,7.2
CHN-JI_Hyd_Capacity Scaler,6.9,7.2,17.7,68.9,52.1,68.3,68.9,68.9,66.4,26.4,14.2,7
CHN-JS_Hyd_Capacity Scaler,17.6,41.5,68.9,68.9,68.9,68.9,62.1,39.1,33.2,20.3,20,10.3
CHN-JX_Hyd_Capacity Scaler,14.2,37.6,66.1,68.9,68.9,68.9,42.6,43.3,25.5,18.1,13.6,7.7
CHN-LI_Hyd_Capacity Scaler,6.9,8.8,29.2,57.7,51.8,68.9,68.9,68.9,68.9,36.7,19.4,8.1
CHN-MA_Hyd_Capacity Scaler,12,28,43.9,68.9,68.9,68.9,63.3,63.3,38.3,15.5,8.8,7.7
CHN-NI_Hyd_Capacity Scaler,6.9,8,20.2,38.2,56.5,68.9,68.9,68.9,68.9,34.5,8.4,6.9
CHN-QI_Hyd_Capacity Scaler,6.9,7.7,19,38.6,61,68.9,68.9,68.9,68.9,35.3,8.1,6.9
CHN-SC_Hyd_Capacity Scaler,8.5,12.4,21.2,29.5,42,68.2,68.9,68.9,68.9,49.3,14.9,7.7
CHN-SD_Hyd_Capacity Scaler,6.9,12,12.9,14.2,17.3,68.9,68.9,68.9,68.9,34.2,16,9
CHN-SH_Hyd_Capacity Scaler,17.6,41.5,68.9,68.9,68.9,68.9,62.1,39.1,33.2,20.3,20,10.3
CHN-SI_Hyd_Capacity Scaler,6.9,13.6,25.5,26.3,44,58.3,68.9,68.9,68.9,68.3,20.1,7.5
CHN-SX_Hyd_Capacity Scaler,6.9,12.1,33.5,36.9,43.3,68.9,68.9,68.9,68.9,39.6,14.8,7.3
CHN-TI_Hyd_Capacity Scaler,6.9,7.3,10.9,24.1,45.8,68.9,68.9,68.9,68.9,24.7,8,6.9
CHN-TJ_Hyd_Capacity Scaler,6.9,10.4,36.1,37.6,34.9,68.9,68.9,68.9,68.9,35.9,15.9,7.3
CHN-WM_Hyd_Capacity Scaler,6.9,8.5,22,38.1,55.5,68.9,68.9,68.9,68.9,35.3,9.1,7
CHN-XI_Hyd_Capacity Scaler,8.9,11.1,29.9,67.7,67.6,68,67.9,40,31.2,30.2,17.3,8.7
CHN-YU_Hyd_Capacity Scaler,8.4,8.9,9.9,12.2,29.4,68.7,68.7,68.7,68.7,43.7,17.7,7.8
CHN-ZH_Hyd_Capacity Scaler,17.5,35.6,61.3,61.8,64.1,68.9,60.6,46.5,42.8,22.9,20.5,9.8
IDN_Hyd_Capacity Scaler,48.1,44.8,47.4,44.4,30.1,17.3,12,12.9,20.3,29,46.9,55.7
IND-EA_Hyd_Capacity Scaler,7.1,7.4,7.5,13,24.4,67.4,67.4,67.4,67.4,32.8,9.3,6.7
IND-NE_Hyd_Capacity Scaler,6.7,7.7,13.3,27.8,58.3,67.4,67.4,67.4,65.5,36.5,9.7,7.1
IND-NO_Hyd_Capacity Scaler,21.8,28.9,37.8,31.6,33.7,60.5,67.4,67.4,64.1,18,7.1,11.4
IND-SO_Hyd_Capacity Scaler,6.9,6.9,7.8,12,26.9,66.7,67.4,67.4,55.8,60.6,34.6,13.3
IND-WE_Hyd_Capacity Scaler,7.9,8.1,7,6.9,8.8,67.4,67.4,67.4,67.4,28.2,10.2,7.9
IRN_Hyd_Capacity Scaler,40.3,40.8,44.5,20.7,10.8,8.7,6.1,5.6,5.5,6.9,23,40.6
IRQ_Hyd_Capacity Scaler,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
ISR_Hyd_Capacity Scaler,44.6,44.6,44.6,44.5,29.1,6.6,4.5,4.5,4.6,13.4,33.7,44.6
JOR_Hyd_Capacity Scaler,33.7,33.7,33.7,22.9,10.7,3.6,3.4,3.4,3.4,5.8,22.9,33.7
JPN-CE_Hyd_Capacity Scaler,15.4,17.8,29.2,29.9,17.3,25.4,29.9,16.2,29.4,19.7,21.9,18.5
JPN-HO_Hyd_Capacity Scaler,3.1,3.1,5.4,29.9,29.9,15,11.9,24.2,27.2,29.9,29.8,12.1
