NAME,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
CHE_Hyd_Luchsingen17782,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
AUT_Hyd_Vermuntwerk820,5.303708255,5.494832877,6.83270523,11.13300922,53.03708255,53.03708255,53.03708255,53.03708255,42.42966604,42.23854142,14.76437703,7.501641406
DEU_Hyd_KopswerkI11390,4.226046206,4.37833616,5.444365834,8.870889785,42.26046206,42.26046206,42.26046206,42.26046206,33.80836965,33.6560797,11.7643989,5.97738067
CHE_Hyd_Felsenau17731,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
USA_Hyd_Yelm29504,52.57049775,52.57049775,38.50173318,21.97575288,11.18327595,7.906988307,5.497953278,5.257049775,6.413386589,16.62769511,52.57049775,52.57049775
AUT_Hyd_KopswerkII769,5.303708255,5.494832877,6.83270523,11.13300922,53.03708255,53.03708255,53.03708255,53.03708255,42.42966604,42.23854142,14.76437703,7.501641406
CHE_Hyd_Leuggelbach17777,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
CHE_Hyd_HinterthalMuo17751,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
USA_Hyd_QuincyChute27029,52.57049775,52.57049775,52.57049775,52.57049775,44.89520508,29.12405575,10.88209303,7.780433666,8.989555115,10.30381756,26.60067186,51.3088058
CAN_Hyd_Montmagny4098,41.43734018,36.93258788,58.02076898,80,80,64.10961001,58.91181889,59.85237157,61.43646029,80,80,45.0015398
USA_Hyd_Electron23191,52.57049775,52.57049775,39.46012515,21.17333237,10.48184771,8.014582018,5.450560809,5.257049775,6.127849431,14.5939572,52.57049775,52.57049775
USA_Hyd_Holter24354,15.71857883,26.33781937,52.57049775,52.57049775,52.57049775,52.57049775,24.60299295,18.08425122,15.29801484,14.19403439,10.51409955,10.98723403
CHE_Hyd_Niederried17794,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
CHE_Hyd_Wernisberg17850,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
AUT_Hyd_Arnstein734,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
CHE_Hyd_Kallnach17756,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
CHE_Hyd_Valeis17845,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
FRA_Hyd_MouthierHaute10011,41.33669481,42.57126139,42.57126139,33.97186659,21.62620078,19.92335033,13.40994734,8.982536153,22.30734097,32.90758505,42.57126139,42.57126139
CHE_Hyd_Aarberg17693,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
CAN_Hyd_GrandFallsG3817,38.37791511,34.65981324,59.44715908,80,80,63.11362065,57.48482753,59.44715908,59.13731725,80,80,44.67803218
CHE_Hyd_MelsKWStoffe17787,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
CHE_Hyd_Plons17805,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
FRA_Hyd_Crissey9303,42.57126139,42.57126139,33.12044136,27.03275098,21.11534565,18.00764357,12.04766697,8.258824709,22.17962718,31.54530469,42.57126139,42.57126139
FRA_Hyd_ChteauChinon9229,42.57126139,42.57126139,28.56531639,22.86076737,18.00764357,14.04851626,7.407399481,7.407399481,13.66537491,26.99017972,42.57126139,42.57126139
CHE_Hyd_LinthkraftNet17780,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
AUT_Hyd_Maltamainstag781,14.74430895,8.379859043,22.59379717,53.03708255,53.03708255,53.03708255,53.03708255,43.91470435,36.75469821,30.76150788,30.28417414,21.48001843
AUT_Hyd_MaltaSecondary780,14.74430895,8.379859043,22.59379717,53.03708255,53.03708255,53.03708255,53.03708255,43.91470435,36.75469821,30.76150788,30.28417414,21.48001843
AUT_Hyd_KWKaunertal760,5.303708255,5.303708255,8.35864421,15.27998348,53.03708255,53.03708255,53.03708255,53.03708255,45.35200929,50.65041384,15.18451673,7.308509976
CAN_Hyd_CentraleHydro3619,41.43734018,36.93258788,58.02076898,80,80,64.10961001,58.91181889,59.85237157,61.43646029,80,80,45.0015398
AUT_Hyd_Lnerseewerk779,5.303708255,5.494832877,6.83270523,11.13300922,53.03708255,53.03708255,53.03708255,53.03708255,42.42966604,42.23854142,14.76437703,7.501641406
FRA_Hyd_Anost8874,42.57126139,42.57126139,28.56531639,22.86076737,18.00764357,14.04851626,7.407399481,7.407399481,13.66537491,26.99017972,42.57126139,42.57126139
AUT_Hyd_RodundwerkII801,5.303708255,5.494832877,6.83270523,11.13300922,53.03708255,53.03708255,53.03708255,53.03708255,42.42966604,42.23854142,14.76437703,7.501641406
AUT_Hyd_RodundwerkI800,5.303708255,5.494832877,6.83270523,11.13300922,53.03708255,53.03708255,53.03708255,53.03708255,42.42966604,42.23854142,14.76437703,7.501641406
CHE_Hyd_Felsen17730,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
CHE_Hyd_Pravizin1Bru17809,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
CAN_Hyd_CapeBroyle3597,63.12997347,61.80371353,66.10079576,80,80,80,60,60.42440318,65.46419098,79.20424403,80,69.70822281
CHE_Hyd_Risi17815,36.57020398,41.49018982,44.22915101,42.20029087,50.72150345,50.72150345,50.72150345,42.6567844,45.09141656,46.30873265,49.96068089,50.72150345
CHE_Hyd_Perlen1WTAH17801,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
CHE_Hyd_Perlen2WTAP17802,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
CAN_Hyd_SeptChutes4338,22.46478304,23.46081021,32.60082431,80,80,80,56.62265624,56.79842575,67.4031857,80,61.13407346,28.03081726
CAN_Hyd_Matabitchuan4040,22.46478304,27.52885834,64.8077741,80,80,49.73757411,45.52768019,48.21225022,52.36113119,80,80,33.26407615
CAN_Hyd_HorseChops3879,63.12997347,61.80371353,66.10079576,80,80,80,60,60.42440318,65.46419098,79.20424403,80,69.70822281
CHE_Hyd_Hagneck1M3M17748,25.51291623,29.77352252,43.11327793,50.72150345,50.72150345,50.72150345,50.72150345,34.28773633,33.22258476,45.09141656,41.28730381,40.12070923
AUT_Hyd_Gratkorn752,27.0489121,50.43826551,53.03708255,41.15677606,34.63321491,45.98315057,53.03708255,48.26374512,50.06700593,53.03708255,53.03708255,39.77781191
CHE_Hyd_Rempen17813,44.73636604,50.72150345,50.72150345,36.46876098,33.17186325,47.22171971,42.45389838,36.77309,35.55577392,38.49762112,50.72150345,50.72150345
CAN_Hyd_LowerNotch4012,22.46478304,27.06024765,61.80196013,80,80,52.73357663,44.82937749,46.60629047,54.51048961,80,80,29.08225208
CHN_Hyd_XinjiangKalasu7522,6.894171347,6.894171347,16.57358792,68.94171347,68.94171347,68.94171347,68.94171347,38.22818012,29.97585702,32.4577587,17.8765863,7.142361516
AUT_Hyd_LowTuxbachS778,18.35083056,20.52535095,43.86166727,53.03708255,53.03708255,53.03708255,53.03708255,45.45277975,40.30818274,34.79232615,34.31499241,22.38164884
